Nombre,Total ($),Cantidad
TORTITAS,345400.0,628.0
MILANESA pollo+GUARNICION,284125.0,32.0
SUSCRIPCIÓN ALMUERZO,245000.0,5.0
SORRENTINOS PREPARADOS,213749.0,28.0
TALLARINES PREPARADOS : tagliatelle con salsa fileto/crema/oliva y quesito rallado,179780.0,40.0
MEDIALUNA,176109.0,255.0
ROLL UNIDAD,174000.0,145.0
RAVIOLES PREPARADOS,168087.0,27.0
MEDIALUNA/SACRAMENTO RELLENO,145530.0,147.0
ÑOQUIS PREP,118339.0,19.0
PAÑUELITO/MEMBRILLITO,105450.0,111.0
PASTA DEL DIA : tagliatelle con salsa fileto/crema/oliva y quesito rallado U OTRO,102200.0,22.0
LAMPONI,99600.0,83.0
CAFE GRANDE,95300.0,37.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),94400.0,59.0
mila de carne napo+guarnicion,84800.0,10.0
DOCENA EMPANADAS,79400.0,6.0
6X5 MEDIALUNAS,79350.0,23.0
RAVIOLES Ternera/Ricota/Verdura/Calabaza,66800.0,8.0
SORRENTINOS JQ/Queso/4 Quesos/Calabaza,66600.0,6.0
EMPANADA UNIDAD,56799.0,46.0
RAVIOLES LA 2DA AL 15 OFF,47175.0,3.0
PIZZA MUZZA,45600.0,5.0
CAFE MEDIANO.,43600.0,20.0
POSTRE GRANDE,41850.0,9.0
DOCENA MEDIALUNAS,41400.0,6.0
"GASEOSA 1,5L",40620.0,9.0
CAFE G + 1 MEDIALUNA,38700.0,15.0
6X5 TORTITAS,38500.0,14.0
CAFE M+ 2 MEDIALUNA,38300.0,13.0
CAFE CHICO,36800.0,18.0
1/2 TARTA+ENS+ BEBIDA,35000.0,10.0
TARTA choclo/roque/cherri,34300.0,7.0
PAN COMUN X KG,33127.5,8.955
DOCENA TORTITAS,33000.0,6.0
TRIPLE unidad,32400.0,27.0
BUDIN L.C.,29400.0,7.0
PAN DE MOLDE X UNIDAD,29400.0,7.0
DOCENA TRIPLES,24000.0,2.0
cafe xl,24000.0,8.0
SORRENTINO 2DA AL 15OFF,21275.0,1.0
CAFE MEDIANO P.LLEVAR,21000.0,10.0
agnolottis preparados,20100.0,3.0
6x5 EMPANADAS,19750.0,3.0
"TAGLIATELLE BOLSA 0,5KG",18600.0,4.0
Mini pan leche,17871.0,4.83
SALSA TUCO,17500.0,5.0
YOGURT CON GRANOLA,17400.0,4.0
CROISSANT MASA MADRE,16000.0,10.0
PAN MOLDE SEGUNDO AL 15%,15540.0,2.0
SALSA BOLOGNESA,14700.0,3.0
DOCENA FACTURAS SURTIDAS,14250.0,1.5
1/2 PORC PASTA+BEB,14000.0,4.0
1 PASTA+BEBIDA+PAN,13800.0,2.0
QUESO RALLADO GRANDE 100 GM,13200.0,4.0
"GASEOSA 0,5L",13020.0,7.0
CAFE GRANDE P.LLEVAR,12500.0,5.0
QUESO RALLADO CHICO 50GR,12280.0,5.0
6X5  TRIPLES,12000.0,2.0
TE GRANDE,11800.0,6.0
GASEOSA LATA 310 ML,11000.0,8.0
PAN DULCE (choco y almen),10900.0,1.0
TARTA + ENSALADA,10500.0,1.0
MANZANITAS,9500.0,10.0
GRAN MENDOCINO,9400.0,2.0
JUGO NATURAL NARANJA,9300.0,3.0
SORRENTINOS PREP. la 2da al 25off,8250.0,1.0
CAFE G + 2 MEDIALUNAS,7200.0,2.0
triple 3x2,7200.0,3.0
COMBO MENDOCINO,6600.0,2.0
ICE LATTE,6600.0,3.0
RAVIOLES FREZZER,5900.0,1.0
SALSA POMAROLA,5800.0,1.0
SANDWICH POLLO Y PALTA,5500.0,1.0
TALLARINES FREZZER,4500.0,1.0
PAN DE BURGER /ARABE//HAMBURGUESA/BAGUETIN/BAGEL X2,4400.0,2.0
AGUA SABORIZADA 1.5L,4100.0,1.0
LIMONADA,3900.0,1.0
AGUA CON/SIN GAS 500,3500.0,2.0
PAÑUELITO CAFETERIA,3300.0,3.0
roll 2da unidad 70%off,3120.0,2.0
"AGUA MINERAL 1,5L",3100.0,1.0
CHOCOLATADA,3100.0,1.0
MEDIALUNA JAMON QUESO,2600.0,2.0
Media porción tallarines,2500.0,1.0
MEDIALUNA/SACRAM RELLENO CAFE,2200.0,2.0
TE GRAN.,1900.0,1.0
grand pain au chocolat,1600.0,1.0
ALFAJOR,1500.0,1.0
lamponi 2da 70%off,1290.0,1.0
ADICIONAL,89.0,1.0
