Nombre,Total ($),Cantidad
CARTA PIZZA ITALIANA JAMON//VEGGIE/PEPPERONI,2277710.0,213.0
TORTITAS,1385853.0,2502.0
MEDIALUNA/SACRAMENTO RELLENO,1300423.0,1363.0
MEDIALUNA,1237826.0,1836.0
CARTA PIZZA ITALIANA MOZARELLA,1199285.0,115.0
Sorrentinos x3 30%off en la 3ra unidad,578610.0,19.0
SORRENTINOS JAMON Y QUESO CAJA,555700.0,49.0
DOCENA DE EMPANADAS 12X10,518248.0,42.0
LAMPONI,492139.0,392.0
PAN COMUN X KG,441081.5,92.405
ROLL UNIDAD,416362.0,318.0
"TRIPLE JYQ, SALAME, ROQUEFORT, INTEGRAL COCIDO",394174.0,312.0
"GASEOSA/SABORIZADA 1,5L",376370.0,60.0
CARTA EMPANADAS CARNE/JYQ/POLLO/ESPINACA/CAPPRESSE,363955.0,187.0
CARTA - SORRENTINOS JYQ/QUESO AZUL/CALABAZA/MOZZARELLA,356530.0,55.0
SALSA BOLOGNESA,333320.0,52.0
SORRENTINOS CALABAZA CAJA,306900.0,30.0
Ravioles x3 30%off en la 3ra unidad,293490.0,13.0
CAFE MEDIANO,290758.0,118.0
MEDIALUNA JAMON QUESO,285500.0,238.0
CARTEL PROMO CAFÉ Mediano + JUGO MEDIANO+ 2 MEDIALUNAS,266600.0,86.0
POSTRES PARA 2,266453.0,42.0
PROMO MEDIANA  (infusión mediana + 1 medialuna/tortita),262600.0,101.0
PAN DE LECHE,257707.0,69.82
PASTA DEL DIA (SOLA),257200.0,56.0
RAVIOLES CARNE CAJA,252380.0,30.0
PAN MOLDE INTEGRAL,246288.0,61.0
PROMO GRANDE ( Infusión grande + 2 medialunas),239400.0,63.0
"FIDEOS HUEVO BOLSA 0,5KG",229030.0,48.0
RAVIOLES ACELGA CAJA,209280.0,28.0
GASEOSA/SABORIZADA 500cc,207803.0,76.0
RAVIOLES RICOTA CAJA,191900.0,24.0
MENU EJECUTIVO Pasta + Bebida + Postre,184600.0,22.0
EMPANADAS JYQ/CARNE/POLLO/ESPINACA/CAPRESSE,180765.0,118.0
