Nombre,Total ($),Cantidad
MEDIALUNA,959192,1297
TORTITAS,938200,1703
PAN COMUN X KG,472262,240
MEDIALUNA/SACRAMENTO RELLENO,421810,443
PAÑUELITO,385706,405
TRIPLE UNIDAD,385200,321
ROLL UNIDAD,347058,288
EMPANADA VS X UNIDAD,317600,256
MEDIALUNA JAMON QUESO,266500,205
"SORRENTINOS JQ CAJA 0,5 KG",248800,22
SORRENTINOS PREPA,245400,40
LAMPONI,199814,166
CAFE MEDIUM,179200,80
PAN INTEGRAL MIEL SEMILLAS X UNIDAD,172200,41
QUESO RALLADO 100G,137900,43
RAVIOLES 30% off 3ra Unidad,136050,6
"FIDEOS HUEVO BOLSA 0,5KG",111000,24
RAVIOLES RICOTA CAJA,106900,13
SORRENTINOS 30% off 3ra Unidad,93150,3
BUDIN,92400,22
RAVIOLES DE ZAPALLO,92300,11
SALSA BOLOGNESA,83300,17
"SORRENTINOS CALAB CAJA 0,5 KG",78100,7
MANZANITAS,74100,78
"GASEOSA 1,5L",64940,13
PAN MOLDE ZANAHORIA,54600,13
CEPITA 1 LT,46600,16
"GASEOSA 0,5L",44600,25
RAVIOLES SUAVES CAJA,41300,5
"ÑOQUIS PAPA CAJA 0,500 KG",41300,7
TARTA,39200,8
POTRE BROWNIE/CHEESECAKE,36000,8
BUDIN PREMIUM,33600,7
SALSA TUCO,31500,9
RAVIOLES TERNERA CAJA,25500,3
SALSA PESTO CHICA,20400,4
"CEPITA 0,2L",18600,16
ALFAJOR,16900,13
Mermelada Alcaraz,15400,2
3 SAND MIGA + LATA,14900,3
"CEPITA 1,5L",11900,3
ÑOQUI PREPA,11800,2
ENSALADA LA VENE,11800,2
BAGUETTIN DE QUESO,10800,9
AGUA SABORIZADA,9900,3
LATA GASEOSA,9600,7
MOUSSE CHOCO,9000,2
RAVIOLES PREPA,6500,1
SANDWICH POLLO/TERY,5900,1
SALSA POMAROLA,5800,1
PASTA ACEITUNA VERDE 200GR,5100,1
2 EMPANADAS + LATA,4900,1
FIDEOS AL HUEVO PREP,4500,1
CAFE + 2 MEDIALUNAS,3500,1
SANDWICH PAN ZANAHORIA,1050,1
