Nombre,Total ($),Cantidad
HAMBURGUESA DE CARNE c/papas,1159246.0,132.0
EMPANADA UNIDAD,962675.0,750.0
TORTITAS,890532.0,1580.0
MEDIALUNA,782242.0,1112.0
MEDIALUNA/SACRAMENTO RELLENO,703465.0,738.0
PIZZA ESPECIALES jamon / peperoni / veggie / napo,643168.0,52.0
ROLL UNIDAD,598562.0,501.0
SORRENTINOS PREPARADOS,589400.0,80.0
"TRIPLE unidad jyq, roque, salame, crudo",537027.0,444.0
CAFE GRANDE,519511.2,199.0
MEDIALUNA DE JAMON Y QUESO,391536.0,303.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),385600.0,241.0
LAMPONI,372249.0,305.0
SORRENTINOS JQ/Queso/4 Quesos/Calabaza,358920.0,31.0
RAVIOLES Ternera/Ricota/Verdura/Calabaza,336000.0,40.0
DOCENA EMPANADAS,335678.0,26.0
ÑOQUIS PREPARADOS,333969.0,49.0
PAN COMUN X KG,329258.0,94.06
PAÑUELITO/MEMBRILLITO,308528.0,316.0
POSTRE chocotorta / brownie / cheescake,300270.0,60.0
CAFE+ 2 MEDIALUNA,291300.0,82.0
DOCENA TRIPLES,238080.0,19.0
RAVIOLES 2DA 15%,235875.0,15.0
"GASEOSA 1,5L",233776.0,51.0
Pasta del dia RAVIOLES,231000.0,50.0
RAVIOLES PREPARADOS,227818.0,34.0
2 SORRENTINOS EL 2DO AL 15OFF,226255.0,11.0
"GASEOSA 0,5L",218685.0,98.0
PORCION DE PIZZA,216000.0,76.0
DOCENA MEDIALUNAS,200132.0,26.0
CAFÉ  MEDIANO,195500.0,85.0
2 RAVIOLES EL 2DO AL 15OFF,189995.0,13.0
CROISSANT RELLENO,188500.0,65.0
PIZZA MUZZA,188200.0,17.0
Fideos tallarines  PREPARADO,186777.0,39.0
ENSALADA LA VENE,149400.0,25.0
BAGEL jyq / veggie / huevo / cheddar y lomito,147160.0,33.0
SUSCRIPCIÓN ALMUERZOS,147000.0,3.0
PAN DE MOLDE X UNIDAD zanahoria/centeno/integral,134120.0,30.0
SALSA BOLOGNESA,132300.0,27.0
Pasta del dia  TALLARINES,130400.0,28.0
SANDWICH POLLO Y PALTA,126720.0,23.0
CAFE + 1 MEDIALUNA,121800.0,42.0
SMALL MUZZA,121720.0,16.0
MUZZ BOX,121700.0,9.0
TORTITA JAMON QUESO,121216.0,98.0
CAFE MEDIANO para llevar,120460.0,59.0
AMERICANO PARA UNO. 1inf+1fact+2toast,117120.0,10.0
PAN MOLDE SEGUNDO AL 15%,116550.0,15.0
JAMON YORK BOX,114420.0,8.0
Pasta del dia SORRENTINOS,109800.0,24.0
JUGO NATURAL,102100.0,23.0
YOGURT CON GRANOLA,101100.0,23.0
GASEOSA LATA 310 ML,98980.0,75.0
AGNOLOTTIS PREPARADOS,94916.0,17.0
MEAT LOVERS BOX,93647.0,6.0
