Nombre,Total ($),Cantidad
TORTITAS,1126920.0,2028.0
MEDIALUNA,1119498.0,1608.0
SACRAMENTO RELLENO,680080.0,714.0
CAFE MEDIANO,530000.0,212.0
COMBO MENDOCINO,476600.0,146.0
PAÑUELITO,457410.0,479.0
DOCENA MEDIALUNAS,367660.0,50.0
LAMPONI/ FRUTILLITAS/ALCAYOTA,334920.0,279.0
DOCENA TORTITAS,319000.0,58.0
ROLL CHOCOLATE UNIDAD,317710.0,263.0
PAN COMUN X KG,278523.58,143.54
SORRENTINOS 2DA UND 15%OFF,251970.0,12.0
GRAN MENDOCINO,242500.0,53.0
RAVIOLES 2DA UND 15% OFF,214600.0,14.0
ROLL CANELA UNIDAD,192480.0,159.0
CAFE GRANDE,192000.0,66.0
TRIPLE UNIDAD,175680.0,145.0
DOCENA EMPANADAS,170220.0,12.0
JUGO EXPRIMIDO GRANDE,158100.0,37.0
AMERICANO PARA 1,156320.0,14.0
D2 CAFE MEDIANO + 2 MEDIALUNAS,154000.0,44.0
EMPANADA UNIDAD,153000.0,115.0
PASTA DEL DIA,131700.0,29.0
PAIN AU CHOCOLAT,128000.0,80.0
"SORRENTINO JYQ CAJA 0,5KG",123800.0,11.0
SORRENTINOS DESC. 30%,122580.0,4.0
CROISSANT,113600.0,71.0
CAFE CHICO,109600.0,54.0
PAN MOLDE INTEGRAL,109440.0,26.0
QUESO RALLADO 100 GM,107580.0,36.0
CAFE GRANDE PARA LLEVAR,106400.0,50.0
ITALIANO,103400.0,13.0
MILANO,98900.0,11.0
PROMO CAFE GRANDE P/LLEVAR ,97500.0,39.0
SALSA BOLOGNESA,93100.0,19.0
ARGENTO,89000.0,12.0
SALSA TUCO,88200.0,25.0
"GASEOSA 1,5L",84790.0,18.0
AMERICANO PARA 2,80800.0,4.0
FIDEOS HUEVO PREPARADOS,80691.0,15.0
PAN CASERO,78300.0,29.0
MEDIALUNA JAMON QUESO,77480.0,59.0
TORTITA CAFETERIA,76380.0,96.0
RAVIOLES  RYN CAJA,74790.0,9.0
DOCENA TRIPLES,72000.0,6.0
PAN MOLDE ZANAHORIA,71880.0,17.0
MEDIALUNA RELLENA,70732.0,71.0
FRAPPE LA VENE,70300.0,23.0
TOSTADO DE MIGA X3,69700.0,17.0
PASTA DEL DIA+ LATA CHICA O LIMONADA,67800.0,10.0
"SORRENTINOS QUESO CAJA 0,5KG",66000.0,6.0
MEDIALUNA CAFETERIA,64900.0,59.0
RASPADITA,64900.0,13.0
MANZANITA,63650.0,67.0
LATA GASEOSA 310ML,63640.0,38.0
BUDIN PREMIUM,61920.0,13.0
TARTA,59900.0,12.0
CHOCOTORTA,58050.0,12.0
ÑOQUIS PAPA PREPARADOS,57690.0,9.0
DANES,55300.0,13.0
SANDWICH POLLO Y PALTA,54440.0,9.0
RAVIOLES TERNERCAJA,53860.0,6.0
ENSALADA NATURAL,53100.0,9.0
15% OFF SEGUNDA UNIDAD FIDEOS,51800.0,6.0
BUDIN LIMON,50400.0,12.0
SACRAMENTO CAFETERIA,49000.0,35.0
PAÑUELITO CAFETERIA,49000.0,35.0
GASEOSA 500ml CAFETERIA,47900.0,22.0
RAVIOLES CALABAZA CAJA,47020.0,6.0
"FIDEOS ANCHO AL HUEVO 0,500KG",45525.0,10.0
LICUADO MULTIFRUTA,45000.0,10.0
YOGURTCON FRUTAS Y GRANOLA,44600.0,10.0
"SORRENTINOS CALABAZA CAJA 0,5 KG",44000.0,4.0
CAFE MEDIUM PARA LLEVAR,43120.0,22.0
BUDIN NARANJA Y CHOCOLATE,42840.0,10.0
PAN MOLDE CENTENO VEGANO,42000.0,10.0
ENSALADA MARAVILLOSA,41300.0,7.0
PROMO CAFE MEDIANO P/LLEVAR,41200.0,18.0
"croissant relleno frutilla, dulce de leche, nutella",40600.0,14.0
TE INFUSION,40200.0,20.0
JARRA LIMONADA,38900.0,7.0
"FIDEOS FINOS AL HUEVO 0,5KG",38600.0,8.0
PORCION DE TOSTADAS X2,36300.0,11.0
"AGUA SABORIZADA 1,5LT",36300.0,9.0
RAVIOLES ACELGA CAJA,35880.0,4.0
PAN DE LECHE,33622.0,14.6
LAMPONI / FRUTILLITA/ALCAYOTA CAFETERIA,33600.0,21.0
RAVIOLES  PREPARADOS,33500.0,5.0
SORRENTINOS PREPARADOS,33380.0,4.0
CHEESECAKE,32850.0,7.0
POSTRE MOUSSE DE CHOCOLATE NEGRO,31500.0,7.0
ROLL CHOCOLATE CAFETERIA,31360.0,20.0
LIMONADA,30700.0,7.0
"ÑOQUIS P/CAJA 0,500 KG",30680.0,5.0
MEDIALUNA J Y Q CAFETERIA,30400.0,19.0
"PAN DULCE  (frutas,chocolate y nueces)",29700.0,3.0
DOCENA FACTURA MIX,28500.0,3.0
LICUADO BANANA,27000.0,6.0
CAPPUCCINO,26900.0,9.0
"GASEOSA 0,5L",26440.0,15.0
POLLO Y PALTA CAFETERIA,26200.0,4.0
CAFE XL,26100.0,9.0
SALSA CREMA,25920.0,7.0
FIDEOS DESC.30%,25380.0,2.0
TORTITA CON JAMON Y QUESO,23280.0,19.0
CEPITA 1 LITRO,23200.0,8.0
RAVIOLES DESC. 30%,22950.0,1.0
SUSCRIPCION CAFE GRANDE,22500.0,1.0
LICUADO FRUTILLA,22500.0,5.0
"AGUA MINERAL/CON GAS 0,5L",22370.0,11.0
TORTITA J Y Q CAFETERIA,21000.0,15.0
AGUA SIN/CON GAS 500 CAFETERIA,19800.0,10.0
QUESO 50GR,18400.0,8.0
CEPITA 300ML,17900.0,11.0
DIPS,16900.0,13.0
6x5 FACTURAS,15980.0,3.0
ÑOQUIS P./DESC. 30% PAPA,15930.0,1.0
MERMELADA DAMASCO,15400.0,2.0
MERMELADA FRUTILLA,15400.0,2.0
ALFAJOR,13000.0,10.0
HUEVOS REVUELTOS,12900.0,3.0
INGLES,12700.0,3.0
BAGEL HUEVO REVUELTO,12600.0,3.0
PAN MOLDE CAMPO,12600.0,3.0
NARANJA,12400.0,4.0
CAPPUCCINO ESPECIAL,12200.0,4.0
"AGUA MINERAL/ CON GAS 1,5L",12200.0,4.0
BROWNIE,11700.0,2.0
SALSA POMAROLA,11600.0,2.0
PAN DULCE (choco y almendras),10900.0,1.0
AGUA SABORIZADA 500ml CAFETERIA,10600.0,5.0
AGUA SABORIZADA 500ML,10500.0,6.0
TRIPLE CAFETERIA,10400.0,8.0
SUBMARINO,9100.0,3.0
ALFAJOR SIN GLUTEN,9000.0,2.0
MENU EJECUTIVO (tarta o ensalada o sandwich vegano+bebidda 500+postre o cafe) chico,8500.0,1.0
ROLL DE CANELA CAFETERIA,8000.0,5.0
PASTA DEL DIA + LATA + FRUTA O CAFE,7900.0,1.0
VASO COOKIE,7500.0,3.0
BAGUETTIN JAMON QUESO,7400.0,2.0
JUGO EXPRIMIDO SODIN,6640.0,8.0
FACTURA 6X5,6480.0,1.0
GASEOSA 1 LITRO,6340.0,2.0
NARANJA-DURAZNO LOS NARANJOS,6200.0,2.0
ENSALADA SERRANA,5900.0,1.0
MOSTAZA EN GRANOS 210 GM,5800.0,1.0
