Nombre,Total ($),Cantidad
TORTITAS,842668.0,1410.0
PASTA DEL DIA (SOLA),743000.0,160.0
CARTA PIZZA ITALIANA JAMON//VEGGIE/PEPPERONI,726220.0,66.0
MEDIALUNA,683330.0,992.0
CARTA - SORRENTINOS JYQ/QUESO AZUL/CALABAZA/MOZZARELLA,675173.0,105.0
MEDIALUNA/SACRAMENTO RELLENO,638087.0,653.0
CAFE MEDIANO,590000.0,236.0
JARRA DE LIMONADA X 1lts,492800.0,88.0
"GASEOSA/SABORIZADA 1,5L",387220.0,72.0
CARTA - RAVIOLES RICOTA/CARNE/ACELGA/CALABAZA,365140.0,58.0
CAFE GRANDE,353600.0,122.0
Ravioles x3 30%off en la 3ra unidad,336150.0,15.0
PROMO PASTA DIA + BEBIDA + PAN,335000.0,50.0
AMERICANO PARA 2 : 2 infusiones+2 jugos+2facturas esp+4 tostadas+huevos+jamon+palta+fruta,332640.0,16.0
Sorrentinos x2 15% off en la 2da unidad,311355.0,15.0
CARTA - ÑOQUIS PAPA / CALABAZA,306377.0,47.0
GRAN MENDOCINO: infusión grande + 2 medialunas + jugo,302400.0,66.0
DOCENA DE EMPANADAS 12X10,301045.0,24.0
MENU EJECUTIVO Pasta + Bebida + Postre,296400.0,36.0
CARTA - TALLARINES AL HUEVO / ACELGA,287324.0,59.0
Ravioles x2 15% en la 2da unidad,275280.0,18.0
SORRENTINOS JAMON Y QUESO CAJA,252450.0,20.0
GASEOSA/SABORIZADA 500cc,247352.0,123.0
Sorrentinos x3 30%off en la 3ra unidad,246780.0,8.0
LIMONADA,245200.0,56.0
HAPPY CHOP DE CERVEZA 2X1,236500.0,55.0
SMOOTHIE/LICUADO,215000.0,50.0
PAN COMUN X KG,211519.0,53.3
PROMO MEDIANA (infusión mediana + 1 medialuna/tortita),208000.0,80.0
CARTEL PROMO CAFÉ Mediano + JUGO MEDIANO+ 2 MEDIALUNAS,204600.0,66.0
ROLL UNIDAD,203393.0,173.0
CARTA ENSALADA POLLO GRILLADO,191700.0,29.0
SALSA BOLOGNESA,185180.0,37.0
CARTEL PROMO LICUADO + 3 TOSTADOS,182000.0,35.0
CARTA - SORRENTINOS PREMIUM CAMARON,181500.0,14.0
POSTRES PARA 2,179281.0,33.0
JUGO DE FRUTAS NATURAL,179100.0,42.0
MILANO : infusión+2 tostadas+palta+huevo+jugo,178800.0,20.0
LAMPONI,178176.0,158.0
COMBO MENDOCINO: infusión+medialuna o tortita,177600.0,55.0
CARTA LASAGNA TRADICIONAL/VEGETARIANA,164100.0,16.0
FRAPPE LA VENE,163900.0,55.0
"TRIPLE JYQ, SALAME, ROQUEFORT, INTEGRAL COCIDO",161550.0,153.0
ARGENTO : infusión+2 tostadas+dulce+queso+jugo,155900.0,21.0
CERVEZA LATA,152100.0,39.0
CARTA PIZZA ITALIANA MOZARELLA,148400.0,16.0
Lomo Simple,144000.0,20.0
RISTRETTO/ESPRESSO CAFE CHICO,138700.0,73.0
ALFAJOR,137620.0,92.0
ITALIANO : infusion+2 med jyq+jugo,137250.0,18.0
Mila Napolitana Ternera,133400.0,16.0
CARTA EMPANADAS CARNE/JYQ/POLLO/ESPINACA/CAPPRESSE,125850.0,108.0
SORRENTINOS CALABAZA CAJA,125500.0,11.0
EMPANADAS JYQ/CARNE/POLLO/ESPINACA/CAPRESSE,122770.0,60.0
"AGUA MINERAL 1,5L",122500.0,35.0
CARTA ENSALADA DEL DÍA,120800.0,19.0
"FIDEOS HUEVO BOLSA 0,5KG",116800.0,28.0
MEDIALUNA JAMON QUESO,116102.0,86.0
CHOP DE CERVEZA STELLA 330,111800.0,26.0
SANDWICH POLLO PALTA pan arabe+queso tybo+pollo+palta+tomate+mayonesa,110040.0,20.0
DOCENA MEDIALUNAS,108214.0,16.0
CARTA TOSTADO - TRIPLE MIGA X3,106600.0,26.0
RAVIOLES ACELGA CAJA,101393.0,12.0
FIDEO PAPARDELLE,101096.0,21.0
CARTA MINI TORTA,94442.0,20.0
QUESO RALLADO 100g,93000.0,32.0
DANÉS: infusión grande + roll tibio de chocolate o canela,92600.0,22.0
AMERICANO PARA 1 : infusion+jugo+factura esp+2 tostadas+huevos+jamon+palta+fruta,91920.0,9.0
CARTA POLLO PALTA pan arabe+queso+tomate+palta+pollo+mayonesa,90930.0,13.0
SALSA TUCO,89600.0,25.0
RAVIOLES RICOTA CAJA,84900.0,10.0
CARTA MEDIALUNA MANTECA,82500.0,75.0
Pizza muzza + cerveza de 1L,81995.0,5.0
RAVIOLES CARNE CAJA,80800.0,10.0
CARTEL PROMO MENU 6 EMPANADAS + CERVEZA,79000.0,10.0
Mila clásica de Ternera,77000.0,10.0
PAN MOLDE INTEGRAL,76800.0,19.0
AGUA/SODA 500cc,74100.0,39.0
CARTA TARTA DEL DIA,72900.0,14.0
CAFE GRANDE PARA LLEVAR,72500.0,25.0
VINO ALAMBRADO,69500.0,5.0
Fideo X 2 15% off en la 2da unidad,68450.0,8.0
SORRENTINOS QUESO CAJA,68200.0,6.0
GASEOSA LATA 310cc,67600.0,53.0
RASPADITA: infusión grande + tortita raspada tostadas + dips de manteca y dulce,64900.0,13.0
CAFE MEDIANO PARA LLEVAR,62500.0,25.0
CARTA YOGURT CON FRUTAS Y GRANOLA,61600.0,14.0
CHEESCAKE/CHOCOTORTA COMPLETO,61500.0,3.0
PAN DE LECHE,61141.0,13.165
CARTA -ANGELOTTIS,59894.0,13.0
ANGELOTTIS DE LOMITO Y CAPRESSE,58950.0,7.0
menu kids,58800.0,12.0
GRAN PAIN AU CHOCOLAT,57600.0,36.0
SALSA POMAROLA,54500.0,10.0
PAN MOLDE 2DO 15%OFF,54390.0,7.0
CARTEL PROMO TOSTADO X 3 + CAFE Mediano+JUGO MEDIANO,54000.0,9.0
STELLA /CORONA 710,53520.0,12.0
ÑOQUIS PAPA CAJA,53100.0,9.0
BUDIN,50680.0,9.0
Lomo Especial triple carne,50600.0,4.0
PORCION cheescake/chocotorta,50400.0,18.0
CARGO $1 - SUSCRICION,49000.01,2.0
ICE LATTE,48400.0,22.0
pizza x2 30% en la 2da unidad,48390.0,3.0
VINO SANTA JULIA MALBEC/CHENIN,47600.0,4.0
YOGURT CON GRANOLA Y FRUTAS,47300.0,11.0
COPA DE VINO,46200.0,14.0
CROISSANT RELLENO,43500.0,15.0
ALFAJORES BOLSA X6,43200.0,17.0
TORTITA JAMON Y QUESO,42366.0,21.0
PAN MOLDE DE CAMPO ARTESANAL,42000.0,11.0
6x5 empanadas,40000.0,6.0
PROMO ESPECIAL (Infusion grande + 2 facturas especiales ),38700.0,9.0
Fideos x3 30%off en la 3ra unidad,38070.0,3.0
COMBO INGLÉS : infusión + 2 alfajorcitos o porción de budín,38000.0,9.0
CAPUCCINO,37700.0,13.0
JUGO MEDIANO,37500.0,15.0
"FIDEOS VERDES BOLSA 0,5KG",37200.0,8.0
Porción tarta más ensalada,37100.0,9.0
PAPAS FRITAS PLATO (500g),33750.0,5.0
PAN MOLDE ZANAHORIA,33600.0,8.0
CARTA MEDIALUNA JAMON,33600.0,21.0
QUESO RALLADO 50g,32500.0,13.0
CARTA TORTITA,32000.0,40.0
AGNELOTTIS CAPRESE,31696.0,5.0
SALSA CREMA,31500.0,9.0
BUDIN PREMIUM + BUDIN CLASICO,31000.0,5.0
CROISSANT,27900.0,18.0
SANDWICH LOMITO CHEDDAR pan philly+cheddar+lomito+huevo revuelto,27500.0,7.0
CARTA SACRAMENTOS RELLENOS,27300.0,21.0
3 TRIPLES + LATA,26550.0,10.0
MINI TORTA PARA LLEVAR,26542.0,4.0
CARTA ROLL,25600.0,16.0
Milanesa Napolitana pollo,25500.0,3.0
Lomo Siemple + bebida,25500.0,3.0
Sándwich de milanesa de pollo,25200.0,4.0
Adicional huevo revuelto,25200.0,6.0
CARTA TORTITA JAMON Y QUESO,25200.0,18.0
ENSALADA DE FRUTA,24200.0,8.0
TU CAFE XL,23200.0,8.0
SUBMARINO,23200.0,8.0
SANDWICH VEGANO REMOLACHA pan arabe de remolacha+queso vegano+verduras salteadas+mayoV,23100.0,5.0
TÉ COMUN O SABORIZADO,22100.0,13.0
ACEITE ZUELO,21900.0,1.0
SUSCRIPCION CAFE mediano,21900.0,1.0
Corona 330 cc,21600.0,8.0
CARTA MEDIALUNA RELLENA,21000.0,15.0
CARTA LAMPONI,20800.0,13.0
Carta sandwiches de mila,20700.0,3.0
TORTA BOMBA 20CM,20500.0,1.0
LASAGNA ESPINACA PACK X2,19900.0,1.0
TARTA PAQUETE,19600.0,4.0
FIDEO CALABAZA BOLSA 0.5KG,18000.0,4.0
CARTA BAGEL HUEVO REVUELTO LOMITOCHEDDAR pan bagel+lomito+cheddar+huevo revuelto,18000.0,4.0
CARTA TRIPLE,17760.0,16.0
BAGEL JAMON Y QUESO pan bagel+jamon+queso tybo+huevo revuelto,17726.0,6.0
BAGEL LOMO CHEDDAR pan bagel+lomito+cheddar+huevo revuelto,17200.0,4.0
RAVIOLES ZAPALLO CAJA,17000.0,2.0
6x5 TORTITAS,16600.0,8.0
DOCENA TORTITAS,16500.0,3.0
TOSTADA PALTA / HUEVO,16500.0,3.0
ADICIONAL SALSA BOLOGÑESA,16200.0,9.0
ADICIONAL/MINI JUGO,15200.0,8.0
Milanesa pollo clasica,15000.0,2.0
BUDIN PREMIUM,14400.0,5.0
PIZZA+BEBIDA,13900.0,1.0
Tarta grande coco y dulce de leche,13500.0,1.0
CARTA BAGEL HUEVO REVUELTO JAMONQUESO pan bagel+jamon+queso tybo+huevo revuelto,13500.0,3.0
CARTEL PROMO MENU PIZZA + CERVEZA,13500.0,1.0
CARTA PORCION DE TOSTADAS X2+DIP QUESO+DIP DULCE,13200.0,4.0
SANDWICH POLLO TERIYAKI pan philly+cheddar+palta+pollo+salsa teriyaki,12480.0,1.0
PROMO TOSTADOS (Infusion grande + 4 triples tostados),12000.0,2.0
PORCION DE BUDIN,12000.0,6.0
DOCENA DE TRIPLE,11930.0,1.0
PROMO GRANDE ( Infusión grande + 2 medialunas),11400.0,3.0
Ñoquis x2 15%off en la 2da unidad,10915.0,1.0
ALFAJOR VEGANO SIN TACC,10500.0,3.0
JUGO ADES 1L,10400.0,4.0
PAN DULCE MILANES(frutas /chocolate/ Almendras),9900.0,1.0
Carta sANDWICH salame,9000.0,2.0
BAGUETIN VEGGIE pan de queso+queso tybo+rúcula+tomate,9000.0,2.0
JUGO CEPITA 1 LT,9000.0,3.0
CHOCOLATADA,8700.0,3.0
CAPPUCINO ESPECIAL,8700.0,3.0
BAGEL VEGGIE pan bagel+queso tybo+palta+rúcula+tomate+queso crema,8600.0,3.0
PAÑUELITO/MEMBRILLITO,8550.0,9.0
Adicional de palta,8500.0,3.0
PAPAS FRITAS CON CHEDDAR (500g),8500.0,1.0
MAYO VEGANA 270Gr zanahoria/remolacha/albahaca/tártara,8300.0,1.0
PAN CASERO,8100.0,5.0
Sándwich de salame y queso,7800.0,2.0
MERMELADA damasco/frutilla,7700.0,1.0
MOCACCINO,6900.0,3.0
ADICIONAL DESCARTABLE,6500.0,13.0
CARTA ALFAJOR,6400.0,4.0
JUGO CHICO,6000.0,3.0
1kg de pan:10%off,5512.15,1.67
Sandwich del dia + bebida,5500.0,1.0
JUGO CEPITA 200ML,5500.0,5.0
Adicional 1 tostada,5200.0,4.0
SALSA PESTO CHICA,5100.0,1.0
PROMO CHICA (Infusión chica+ 1 medialuna/tortita),5000.0,2.0
"FIDEOS REMOLACHA BOLSA 0,KG",4700.0,1.0
CARTA BAGEL VEGGIE pan bagel+queso tybo+palta+rúcula+tomate+queso crema,4680.0,1.0
CARTA BAGUETIN JYQ pan de queso+jamon+queso tybo,4500.0,1.0
baguetin jamon crudo,4500.0,1.0
CAMPO CRUDO Y QUESO,4500.0,1.0
CARTA BAGUETTIN VEGGIE pan de queso+queso tybo+rúcula+tomate+mayoV,3900.0,1.0
CARTA VEGANO/VEGETARIANO REMOLACHA pan arabe de remolacha+queso+verduras salteadas+mayoV,3700.0,1.0
Pan árabe x3,2700.0,1.0
SANDWICH CAMPO DE QUESO,1800.0,1.0
CARTA PAÑUELITOS,1400.0,1.0
ADICIONAL CARTA (dulce o queso),1300.0,1.0
ADICIONAL TAZA XL,1200.0,4.0
TRIPLE JAMON CRUDO,1200.0,1.0
ADICIONAL DIP DE QUESO,1200.0,1.0
pain au chocolat,990.0,1.0
