Nombre,Total ($),Cantidad
MEDIALUNA,729576.0,1059.0
TORTITAS,711672.0,1270.0
MEDIALUNA/SACRAMENTO RELLENO,566552.0,582.0
"ROLL CHOCO,CANELA",518250.0,428.0
EMPANADA UNIDAD,442950.0,341.0
LAMPONI,312596.0,256.0
PAÑUELITOS DDL/CREMA,309699.0,320.0
TRIPLE unidad,266918.0,220.0
"SORRENTINOS/ calabaza,jyq,queso,integral",245200.0,22.0
MEDIALUNA JAMON QUESO,211832.0,162.0
MEDIALUNA DOCENA,188100.0,26.0
EMPANADA DOCENA,181000.0,14.0
2 RAVIOLES EL 2DO AL 15OFF,151700.0,10.0
CAFE+2 MEDIALUNAS,147100.0,47.0
CAFE GRANDE,144900.0,55.0
CAFE MEDIANO,144840.0,66.0
PORCION DE PIZZA,136500.0,49.0
6X5 TRIPLES,136188.0,20.0
PAN DE  MOLDE,130440.0,31.0
"RAVIOLES/ carne, verd,ricota.zapallo",126500.0,15.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),115200.0,72.0
6X5 TORTITAS,111120.0,36.0
SUSCRIPCIÓN ALMUERZOS,98000.0,2.0
6x5 EMPANADAS,97750.0,15.0
POSTRES LA MAGICA,93538.0,18.0
PAN COMUN X KG,91578.7,25.431
2 SORRENTINOS EL 2DO AL 15OFF,82880.0,4.0
JUGO NATURAL EXPRIMIDO,80000.0,18.0
6X5 MEDIALUNAS,77468.0,23.0
TRIPLE DOCENA,72000.0,6.0
ENSALADA LA VENE,70800.0,12.0
1/2 TARTA +ENSALADA,70000.0,20.0
SALSA BOLOGNESA,68600.0,14.0
CAFE M + 2MEDIALUNA,67500.0,27.0
BUDIN,61620.0,12.0
YOGURT CON GRANOLA,60800.0,14.0
ÑOQUIS PREPARADOS,46296.0,9.0
PASTA DEL DIA,46000.0,10.0
6x5 SURTIDAS,42898.0,10.0
ADICIONAL,42118.0,21.0
QUESO RALLADO 100 GR,40300.0,13.0
Mini pan tierrnizado,39528.0,10.33
MANZANITAS,36100.0,38.0
TORTITA JAMON QUESO,35798.0,28.0
SANDWICH POLLO Y PALTA,35740.0,6.0
ÑOQUIS,35400.0,6.0
BAGGETIN JYQ,33560.0,8.0
30% EN 3ra SORRENTINOS,31050.0,1.0
PAN DULCE FRUTOS Y ALMENDRAS,29700.0,3.0
BUDIN PREMUIN,28800.0,6.0
SALSA TUCO,28000.0,8.0
"Papardelle/Tallarines/fideos al huevo,remolacha,papardelle,calabaza",27600.0,6.0
TORTITAS DOCENA,27500.0,5.0
2TAGLIATELLE EL 2DO AL 15OFF,25345.0,3.0
SALSA CREMA,24500.0,7.0
PAN DULCE ALMENDRA Y CHOCOLATE,23800.0,2.0
pan de molde 2do al 15 off,23340.0,3.0
SUSCRIPCION DE CAFE GRANDE,22500.0,1.0
30% EN 3ra RAVIOLES,21330.0,1.0
SEGUNDO PAN DULCE 15%,20165.0,1.0
GASEOSA 500cc,19200.0,11.0
Agnolottis CAPR/LOMITO,19000.0,2.0
DOCENA FACTURA MIX 12X10,19000.0,2.0
"AQUARIUS 1,5",16000.0,4.0
CAPUCCINO GRANDE,14900.0,5.0
CROISSANT RELLENO,14500.0,5.0
CAFE + ROLL,14000.0,4.0
BAGUETIN VEGGIE,12100.0,3.0
GASEOSA LATA 310cc,11000.0,8.0
SALSA PESTO CHICA,10200.0,2.0
QUESO RALLADO CHICO 50GR,10000.0,4.0
GASEOSA 1.5LT,9200.0,2.0
PIZZA MUZZA,8900.0,1.0
1 Budin común +1 premium 2do al 15%,8280.0,1.0
sandwich panini,7800.0,2.0
1/2 MILA + TALL/ENS,7000.0,2.0
SORRENTINOS PREPARADOS,6900.0,1.0
2da PASTA al 50%,6750.0,1.0
RAVIOLES PREPARADOS,6700.0,1.0
PAIN AU CHOCOLAT (PAN O CHOCOLA),5940.0,6.0
"AQUARIUS 0,5",5400.0,3.0
"AGUA MINERAL 0,5L",5300.0,3.0
CROISSANT MASA MADRE,5136.0,1.0
BAGUEL HUEVO,4500.0,1.0
TE COMUN,3600.0,2.0
JUGO + 2 MEDIALUNAS,3500.0,1.0
CAFE + TRIPLE,3500.0,1.0
SUBMARINO GRANDE,2900.0,1.0
CHOCOLATADA,2900.0,1.0
ALFAJOR,2860.0,2.0
BAGEL X2,2200.0,1.0
Agnolottis PREPARADOS,0.0,2.0
