Nombre,Total ($),Cantidad
MEDIALUNA,500574.0,724.0
MESA - CAFE MEDIANO,427800.0,194.0
TORTITAS,420200.0,764.0
MEDIALUNA RELLENA,248900.0,262.0
TRIPLE UNIDAD,230400.0,192.0
CAFE GRANDE P LLEVAR,215300.0,76.0
MESA - JUGO NATURAL,215000.0,50.0
Gran Mendocino,202400.0,44.0
MESA - CAFE GRANDE,193200.0,74.0
CAFE MEDIANO P LLEVAR,175100.0,74.0
ROLL UNIDAD,160800.0,134.0
"SORRENTINOS JQ CAJA 0,5 KG",158600.0,14.0
Porcion RAVIOLES,154380.0,24.0
COMBO MENDOCINO,149700.0,46.0
MESA - MEDIALUNA,145200.0,132.0
MESA - CAFE CHICO,139500.0,69.0
CAFÉ XL,139400.0,46.0
JUGO NATURAL EXPRIMIDO,137600.0,32.0
LAMPONI,127200.0,106.0
MEDIALUNA JAMON QUESO,120900.0,93.0
PAN MOLDE INTEGRAL  X UNIDAD,117600.0,28.0
YOGURT CON GRANOLA PARA LLEVAR,115600.0,26.0
EMPANADA  PARA LLEVAR,113500.0,85.0
Milano,99300.0,11.0
tostados x3,90200.0,22.0
ENSALADA PARA LLEVAR,88500.0,15.0
MESA - TORTITA,84800.0,106.0
PAN MOLDE ZANAHORIA,84000.0,20.0
Porcion FIDEOS,83000.0,18.0
Argento,73600.0,10.0
Porcion SORRENTINOS,69420.0,8.0
AMERICANO PARA 2,60900.0,3.0
LICUADO GRANDE C/LECHE,60200.0,14.0
BUDIN,54600.0,13.0
MESA - Gaseosas 500 ml,54300.0,25.0
MESA - POLLO Y PALTA SANDWICH,54200.0,8.0
Italiano,53300.0,7.0
MESA - AGUA MINERAL 0.5L,48800.0,25.0
DOCENA MEDIALUNAS 12X10,48300.0,7.0
POLLO TERY SANDWICH CON PALTA,46940.0,8.0
MESA - MEDIALUNA J Y Q,46400.0,29.0
MESA - BAGUETTIN JYQ,44100.0,9.0
MESA - YOGURT,43800.0,10.0
BAGUETTIN JAMON QUESO,43700.0,11.0
Porcion ÑOQUIS,43480.0,7.0
CROISSANT,43200.0,27.0
GASEOSA 500 LLEVAR,40940.0,23.0
QUESO RALLADO UNIDAD,35900.0,11.0
Raspadita,34500.0,7.0
LICUADO GRANDE C/AGUA,34400.0,8.0
Limonada,34400.0,8.0
"SORRENTINOS CALAB CAJA 0,5 KG",33900.0,3.0
budin premium,33600.0,7.0
"FIDEOS HUEVO BOLSA 0,5KG",32300.0,7.0
TE GRANDE,32000.0,16.0
AMERICANO PARA UNO,31900.0,3.0
PAN COMUN X KG,31029.5,8.385
YOGURT MESA,30500.0,7.0
Grand Pain au chocolat,30400.0,19.0
MESA -BAGEL HUEVO,28600.0,6.0
TRIPLE CRUDO,27300.0,21.0
frappe la vene,27100.0,9.0
CAFE ESPECIAL PARA LLEVAR,26400.0,8.0
Agua  500 mlpara llevar,25900.0,15.0
MESA - MEDIALUNA RELLENA,25200.0,18.0
MERMELADA UNIDAD,23100.0,3.0
MESA - ROLL,22400.0,14.0
JUGO FRUTAL,21000.0,9.0
ALFAJOR,19760.0,15.0
MESA - LAMPONI,19200.0,12.0
pan caserito,18900.0,7.0
"ÑOQUIS PAPA CAJA 0,500 KG",17700.0,3.0
Coleslaw,16600.0,2.0
ades y cepita 1 litro caja,15600.0,4.0
MESA - Gaseosa en Lata,15500.0,11.0
Submarino 1,15300.0,5.0
Cappu Tradicional,14500.0,5.0
SALSA TUCO,14000.0,4.0
MESA - POLLO TERY CON PALTA,13800.0,2.0
BAGEL HUEVO -p llevar,13500.0,3.0
DOCENA EMPANADAS 12X10,13500.0,1.0
2 TOSTADAS CON MERMEDALA Y queso,13200.0,4.0
EMPANADA CARNE UNIDAD,12900.0,10.0
MESA - ENSALADA,11800.0,2.0
limonada jarra,11800.0,2.0
TOSTADAS DULCES P LLEVAR,11700.0,3.0
pan dulce veneciano,10900.0,1.0
MESA - TOSTADO x1,10400.0,8.0
SALSA BOLOGNESA,9800.0,2.0
agua c/sin gas 1.5 lts,9100.0,3.0
.-cafe mediano+2medialunas,9000.0,2.0
Combo Ingles,8600.0,2.0
GASEOSA 0.354LATA,8600.0,7.0
Danes,8600.0,2.0
RAVIOLES SUAVES CAJA,8500.0,1.0
RAVIOLES DE ZAPALLO CAJA,7900.0,1.0
MESA - EMPANADA,7900.0,6.0
Cappu Crema,6000.0,2.0
SANDWICH POLLO TERY,5900.0,1.0
TOSTADAs palta y huevo,5500.0,1.0
MESA - TRIPLE,5200.0,4.0
SALSA PESTO CHICA,5100.0,1.0
extraleche deslactosada,5000.0,7.0
TOSTADAS SALADAS P LLEVAR,5000.0,1.0
BAGEL HUEVO,4900.0,3.0
MESA - ALFAJOR,4800.0,3.0
extra jamon o queso,4400.0,2.0
ENSALADA DE FRUTA,4300.0,1.0
Pan Molde de campo,4200.0,1.0
6x5 tortitas,3960.0,1.0
tostado unidad para llevar,3900.0,3.0
pan de leche,3570.0,1.02
CAFE FRIO,3100.0,1.0
Propina,3040.0,2.0
MESA - VAINILLA LATTE,2900.0,1.0
extra palta,2900.0,1.0
achocolatada,2900.0,1.0
TORTITA JYQ mesa,2800.0,2.0
1 unidad extra tostada,2600.0,2.0
MESA - TORTITA JYQ,2600.0,2.0
ades y cepita cajita 200ml,2200.0,2.0
porcion budin MESA,2000.0,1.0
Porcion Budin - Llevar,1400.0,1.0
Extra dulce o manteca,1300.0,1.0
Leche Vegetal,700.0,1.0
extra queso comida,300.0,1.0
leche x caja unidad,0.0,7.0
pan dulce veneciano RELLENO,0.0,1.0
