Nombre,Total ($),Cantidad
MEDIALUNA,1043970.0,1533.0
TORTITAS,982850.0,1787.0
MEDIALUNA/SACRAMENTO RELLENO,749480.0,793.0
ROLL UNIDAD,500600.0,441.0
"SORRENTINOS CALAB CAJA 0,5 KG",407800.0,38.0
TRIPLE JYQ UNIDAD,393800.0,341.0
"SORRENTINOS JQ CAJA 0,5 KG",383200.0,34.0
PAN COMUN X KG,373288.5,101.67
LAMPONI,364400.0,330.0
RAVIOLES DE ZAPALLO,314600.0,38.0
MINI CAKE MINI TORTA TO GO,296000.0,82.0
RAVIOLES RICOTA CAJA,250800.0,30.0
DOCENA DE MEDIALUNAS,234600.0,34.0
RAVIOLES SUAVES CAJA,233200.0,28.0
PAÑUELITO/MEMBRILLO,230150.0,279.0
ENSALADA LA VENE,209900.0,34.0
PAN INTEGRAL MIEL SEMILLAS X UNIDAD,192500.0,55.0
"FIDEOS HUEVO BOLSA 0,5KG",184000.0,40.0
DOCENA DE TORTITAS,176000.0,32.0
QUESO RALLADO 100GR,172600.0,54.0
LICUADO,166200.0,50.0
RAVIOLES TERNERA CAJA,165200.0,20.0
MEDIALUNA JYQ,141700.0,111.0
SALSA BOLOGNESA,140000.0,32.0
CAFE EXPRE,138600.0,60.0
TARTA,137200.0,31.0
TRIPLE ROQUEFORT,136800.0,101.0
"GASEOSA 1,5L",129500.0,35.0
VENTA EXTRA,114440.0,72.0
BUDIN,113400.0,27.0
EMPANADA CARNE Y ACEITUNAS,112550.0,85.0
PAN MOLDE ZANAHORIA,101500.0,29.0
Porcion Sorrentinos Calabaza,95500.0,15.0
SALSA TUCO,95200.0,30.0
SURTIDAS ESPECIALES 6X4,92400.0,21.0
TRIPLE JAMON CRUDO,83600.0,86.0
ALFAJOR VENE,72800.0,57.0
CAFE + 1 TORTITA,72300.0,32.0
CITRIC 1 LT,68000.0,20.0
"ÑOQUIS PAPA CAJA 0,500 KG",64900.0,11.0
TRIPLE SALAME Y QUESO,64800.0,57.0
EMPANADA ESPINACA Y PARMESANO,61750.0,47.0
Porcion Ñoquis Papa,60100.0,11.0
Porcion Fideos al Huevo,59500.0,13.0
EMPANADA JAMON Y QUESO,58200.0,44.0
"SORRENTINOS QUESO CAJA 0,5 KG",54500.0,5.0
CEPITA 1 LT,52800.0,22.0
PIZZA MUZZARELLA,52000.0,6.0
"FIDEOS VERDES BOLSA 0,5KG",50900.0,11.0
Porcion Sorrentinos Jamon y Queso,46600.0,6.0
EMPANADA CAPRESE,44900.0,34.0
Pan dulce chocolate y almendra,43600.0,4.0
PIZZA JAMON YORK,41000.0,4.0
Porcion Ravioles Ricota y Nuez,40200.0,6.0
PAN CASERO,39900.0,15.0
Porcion Sorrentinos Queso,38700.0,5.0
GASEOSA 0.354LATA,36300.0,33.0
DOCENA TRIPLES JYQ,36000.0,3.0
SALSA CREMA,34300.0,11.0
SALSA POMAROLA,29000.0,5.0
Porcion Ravioles Carne,26800.0,4.0
ADES 1L,26000.0,10.0
TORTITA JAMON Y QUESO,24000.0,20.0
Porcion Ravioles Zapallo,23400.0,4.0
"SORRENTINOS QIUESO CAJA 0,5 KG",23000.0,2.0
PIZZA PEPPERONI,21000.0,2.0
"CITRIC 0,5 LT",21000.0,10.0
PIZZA FULL CHEESE,19000.0,2.0
Porcion Fideos Verdes,18400.0,4.0
CAFE + ALFAJOR,18100.0,7.0
"AGUA MINERAL 0,5L",18000.0,10.0
MAYO V 270G MAYONESA VEGANA,15800.0,2.0
SALSA PESTO CHICA,15300.0,3.0
CHOCOLATADA 1 LT,13800.0,6.0
CEPITA 200 ML,13020.0,14.0
Porcion Ravioles Acelga,12600.0,2.0
CAFE + 1 MEDIALUNA,11300.0,5.0
"AGUA MINERAL 1,5L",10800.0,4.0
EMPANADA POLLO,7900.0,6.0
PAN ARABE X 3,4800.0,2.0
CHOCOLATADA 200 ML,3800.0,4.0
TORTITA JAMÓN Y QUESO,1980.0,2.0
TE INFUSION,1500.0,1.0
CITRIC 200 ML,1050.0,1.0
COOKIE VASO CAFE,550.0,1.0
