Nombre,Total ($),Cantidad
MEDIALUNA,215292.0,308.0
TORTITAS,166790.0,279.0
PASTA DEL DIA,150618.0,32.0
CAFE MEDIANO,127500.0,57.0
DOCENA MEDIALUNAS,119980.0,16.0
SORRENTINOS PREPARADOS,117660.0,14.0
RAVIOLES DESC. 30%,111510.0,5.0
PASTA DEL DIA+ LATA CHICA,88100.0,13.0
ROLL CANELA UNIDAD,79644.48,64.0
PAÑUELITO,77540.0,81.0
DOCENA FACTURA MIX,76000.0,8.0
6x5 tortitas,70400.0,21.0
COMBO AMERICANO PARA 2,66350.0,3.0
COMBO ITALIANO,64750.22,7.0
TRIPLE UNIDAD,61960.0,52.0
PAN COMUN X KG,59434.0,27.585
SACRAMENTO RELLENO,55580.0,58.0
PASTA DEL DIA CON BOLO,50000.0,10.0
LAMPONI/ FRUTILLITAS/ALCAYOTA,45040.0,35.0
SORRENTINOS CALABAZA CAJA 500g,44000.0,4.0
JUGO EXPRIMIDO GRANDE,44000.0,10.0
CAFE GRANDE PARA LLEVAR,41400.0,16.0
SORRENTINOS 2DA UND 15%OFF,40700.0,2.0
COMBO MENDOCINO,39200.0,12.0
SUSCRIPCION CAFE MEDIANO,39000.0,2.0
"GASEOSA 1,5L",37990.0,8.0
CAFE GRANDE,34840.0,12.0
menu ejecutivo,32800.0,4.0
PAN DULCE VENECIANO Chips de chocolate y almendras,32700.0,3.0
"FIDEOS AL HUEVO 0,5KG",32500.0,7.0
COMBO RASPADITA,30600.0,6.0
RAVIOLES 2DA UND 15% OFF,30340.0,2.0
CAJA RAVIOLES ACELGA,29700.0,3.0
SORRENTINOS DESC. 30%,29430.0,1.0
MEDIALUNA JAMON QUESO,28840.0,20.0
pain au chocolat,28800.0,18.0
GRAN MENDOCINO,28000.0,6.0
AGNELOTTIS PREPARADOS,27658.0,5.0
DOCENA EMPANADAS,27000.0,2.0
15% OFF SEGUNDA UNIDAD FIDEOS,25725.0,3.0
AGNELOTTIS 30% 3era Unidad,25650.0,1.0
PAN MOLDE INTEGRAL,25440.0,6.0
SALSA BOLOGNESA,24500.0,5.0
DOCENA TORTITAS,24420.0,4.0
DOCENA TRIPLES,24000.0,2.0
COMBO ARGENTO,23925.0,4.0
SANDWICH MILANESA DE CARNE,22500.0,3.0
SALSA TUCO,22400.0,6.0
sándwich de Mila de pollo,20700.0,3.0
TOSTADO DE MIGA X3,20500.0,5.0
POSTRE GRANDE,19350.0,4.0
SALSA CREMA,18920.0,5.0
BUDIN LIMON,18480.0,4.0
EMPANADA UNIDAD,18070.0,15.0
COMBO MILANO,18000.0,2.0
ENSALADA NATURAL,17700.0,3.0
PAN MOLDE ZANAHORIA,16800.0,4.0
LATA CERVEZA ANDES 473 CC,16400.0,4.0
QUESO RALLADO 100 GM,15960.0,5.0
PAN MOLDE 2DO 15%OFF,15540.0,2.0
FRAPPE LA VENE,15100.0,5.0
Mini pan leche,14012.0,3.6
ÑOQUIS PAPA PREPARADOS,12600.0,2.0
CAFE MEDIUM PARA LLEVAR,12420.0,5.0
FIDEOS DESC.30%,12150.0,1.0
SALSA POMAROLA,11600.0,2.0
SORRENTINOS JAMON Y QUESO CAJA 500G,11500.0,1.0
SORRENTINOS QUESO CAJA 500G,11500.0,1.0
COMBO AMERICANO PARA 1,10900.0,1.0
BUDIN PREMIUM,10560.0,2.0
PAN CASERO,9840.0,3.0
AGNELOTTIS CAJA 0.4GR,9500.0,1.0
YOGURTCON FRUTAS Y GRANOLA,9000.0,2.0
ROLL CHOCOLATE UNIDAD,8880.0,7.0
PAN MOLDE CENTENO VEGANO,8640.0,2.0
gaseosa 0.5 mesa,8500.0,4.0
CAJA RAVIOLES RICOTA,8500.0,1.0
PAN MOLDE CAMPO,8400.0,2.0
CROISSANT,8000.0,5.0
TORTITA CAFETERIA,8000.0,10.0
MILANESA TERNERA NAPOLITANA,7900.0,1.0
MERMELADA FRUTILLA,7700.0,1.0
TORTITA CON JAMON Y QUESO,7560.0,6.0
ALFAJOR,7020.0,5.0
CEPITA 200 ML,6900.0,6.0
QUESO 50GR,6900.0,3.0
LATA GASEOSA 310ML,6442.4,4.0
CAFE CHICO,6300.0,3.0
CAJA ÑOQUIS PAPA 500G,5900.0,1.0
ENSALADA MARAVILLOSA,5900.0,1.0
FIDEOS HUEVO PREPARADOS,5600.0,1.0
AGNELOTTIS PORCION,5420.0,1.0
BAGEL HUEVO REVUELTO,4900.0,1.0
Jarra Limonada,4900.0,1.0
BAGUETTIN MULTICEREAL,4900.0,1.0
FACTURA 6X5,4750.0,1.0
ALFAJOR SIN GLUTEN,4500.0,1.0
POSTRE MOUSSE DE CHOCOLATE NEGRO,4500.0,1.0
BAGUETTIN JAMON QUESO,4500.0,1.0
COMBO DANES,4300.0,1.0
LICUADO/SMOOTHIE,4300.0,1.0
"GASEOSA 0,5L",3600.0,2.0
PORCION DE TOSTADAS X2,3300.0,1.0
SUBMARINO,3100.0,1.0
CAPPUCCINO,2900.0,1.0
CAFE XL,2900.0,1.0
CAPPUCCINO ESPECIAL,2900.0,1.0
CROISSANT RELLENO,2900.0,1.0
TORTITA J Y Q CAFETERIA,2800.0,2.0
SACRAMENTO CAFETERIA,2800.0,2.0
PAÑUELITO CAFETERIA,2800.0,2.0
DIPS,2600.0,2.0
Ristretto,2300.0,1.0
MEDIALUNA CAFETERIA,2200.0,2.0
TE INFUSION,1900.0,1.0
MEDIALUNA RELLENA,1900.0,2.0
MANZANITA,1900.0,2.0
JUGO EXPRIMIDO SODIN,1660.0,2.0
CEPITA 300ML,1650.0,1.0
ALFAJOR CAFETERIA,1600.0,1.0
LAMPONI / FRUTILLITA/ALCAYOTA CAFETERIA,1600.0,1.0
MANZANITA CAFETERIA,1600.0,1.0
GRAN PAÑUELITO DE CHOCOLATE,1550.0,1.0
TRIPLE CRUDO,1320.0,1.0
TOSTADA,1300.0,1.0
Raspada,0.0,1.0
Pan integral,0.0,1.0
Cafe con leche (LATTE),0.0,8.0
Cortado (FLATE WHITE),0.0,3.0
Dips manteca y dulce,0.0,1.0
Te,0.0,1.0
Tortita con jyq,0.0,1.0
Espresso,0.0,1.0
Medialuna manteca,0.0,1.0
Medialuna jamon y queso,0.0,2.0
Manchado/lagrima,0.0,2.0
