Nombre,Total ($),Cantidad
TORTITAS,616306.0,1108.0
ROLL CHOCO UNIDAD,532148.0,423.0
MEDIALUNA,508710.0,717.0
SACRAMENTO,501908.0,513.0
PASTA DEL DIA SOLA,410740.0,88.0
EMPANADA CAR/JAM/POL/CAP/ESP,322240.0,239.0
SORRENTINOS PREP,300930.0,39.0
"SORRENTINOS CALAB/JAM/MUZZ/INT CAJA 0,5 KG",300000.0,26.0
LAMPONI,296014.0,238.0
SUSCRIPCIÓN ALMUERZOS,293000.0,7.0
TRIPLE UNIDAD,243051.0,198.0
RAVIOLES CAJA DE ZAP/RIC/CAR/ACE,227240.0,26.0
6X5 TORTITAS,217488.0,73.0
ÑOQUIS PREP,215858.0,32.0
PIZZA JAMON,209848.0,17.0
PAÑUELITO,204908.0,207.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),172800.0,108.0
DOC MEDIALUNAS,167922.0,23.0
2DA SORRENTINO 15% OFF,166870.0,8.0
PIZZA MUZZA,166098.0,17.0
POSTRE CHOCO/BROW/CHEES,160918.0,31.0
PAN MOLDE ZAN/INTE/CAM/CENT,158860.0,38.0
PAN COMUN X KG,158309.5,44.67
6X5 EMPANADAS,157470.0,23.0
6x5 FACTURAS SURTIDAS,152666.0,32.0
CAFE GRANDE,148036.0,53.0
SORRENTINOS 3RO AL 30% OFF,147150.0,5.0
DOC  EMPANADAS,145300.0,10.0
MEDIALUNA JAMON QUESO,138080.0,102.0
CAFE MEDIANO,130645.0,55.0
DOC. TRIPLE 10x12,114240.0,9.0
CROISSANT RELLENO,113100.0,39.0
6X5 TRIPLE,96280.0,13.0
BAGEL HUEVO REVUELTO,90460.0,19.0
RAVIOLES 3RO AL 30% OFF,90180.0,4.0
2DA RAVIOLES 15 %OFF,89910.0,6.0
6X5 MEDIALUNAS,88875.0,24.0
RAVIOLES PREP,87490.0,17.0
PAN DE LECHE,85861.0,23.73
DOC. FACTURAS 12x10 (INCLUYE MEDIALUNAS),85400.0,11.0
SALSA BOLOGNESA,83260.0,17.0
PAN CASERITO 380GR,69432.0,24.0
BUDIN,69100.0,16.0
"TAGLIATELLE HUE/ACE/REM/CAL BOLSA 0,5KG",67700.0,14.0
SALSA TUCO,67400.0,19.0
CAFE + 2 MEDIALUNAS,56000.0,16.0
QUESO RALLADO 100gr,55820.0,12.0
ENSALADA DEL DIA,55000.0,9.0
Café M + 1 tortitas,55000.0,22.0
PAIN AU CHOCOLAT (PAN O CHOCOLA),54450.0,55.0
SANDWICH POLLO Y PALTA,49760.0,8.0
CAFE G + 1 MEDIALUNAS,47280.0,16.0
TARTA SALSADA UNIDAD,47100.0,9.0
ALFAJOR LA VENE,46040.0,35.0
"ÑOQUIS PAPA/CALAB CAJA 0,500 KG",43660.0,7.0
DOC TORTITAS,39600.0,7.0
PAPARDELLE,39155.1,7.0
2DO PAN MOLDE 15% OFF,38850.0,5.0
tortita c/ jamon y queso,38720.0,30.0
"GASEOSA 0,5L",35200.0,16.0
"GASEOSA 1,5L",34180.0,7.0
MEDIALUNA RELLENA,33928.0,27.0
BUDIN PREMIUN,30724.0,6.0
TORTITA JAMÓN Y QUESO,27500.0,25.0
FIDEO PREP,25799.0,5.0
JUGO NATURAL,22827.0,6.0
SALSA CREMA (BLANCA),21800.0,6.0
ENSALADA DE FRUTA,18100.0,5.0
POSTRE YOGURT CON GRANOLA,17400.0,4.0
GASEOSA LATITA 310CC,13680.0,9.0
PAN DULCE (chocolate y mas almendras),10900.0,1.0
QUESO RALLADO 50 gr,10200.0,4.0
PAN DULCE (frutos y almendras),9899.0,1.0
DESAYUNO DULCE,9750.0,1.0
INFUSION,9700.0,5.0
PIZZA PEPPERONI,9600.0,1.0
DESAYUNO AMERICANO,8970.0,1.0
Triple jamón crudo,8520.0,5.0
MILANESA CLASICA TERNERA,8500.0,1.0
2 DA TAGLIATELLE 15%OFF,8325.0,1.0
TOMATES ENTEROS 1KG,8300.0,1.0
PASTA DEL DIA + lata,6900.0,1.0
ENSALADA DE POLLO GRILLADO,6900.0,1.0
MILANESA CLASICA POLLO,6900.0,1.0
ADICIONAL,6430.0,29.7
ROLL DE CANELA,6180.0,5.0
Queso 50g 20off llevando pasta+salsa,6000.0,3.0
BROWNIE PARA DOS,5850.0,1.0
SALSA POMAROLA,5800.0,1.0
"AGUA SABORIZADA 0,5L",5400.0,3.0
"AGUA SABORIZADA 1,5L",5300.0,1.0
SALSA PESTO CHICA,5100.0,1.0
CROISSANT MASA MADRE,4800.0,3.0
COMBO INGLES,4200.0,1.0
BAGUETTIN JAMON QUESO,4100.0,1.0
Panini pep/jyq/lomito,3900.0,1.0
AGUA MINERAL 0.5L,3700.0,2.0
MENDOCINO,3200.0,1.0
MEDIA PORCION SORR/RAV,2900.0,1.0
20% OFF QUESO RALLADO 50GR,2480.0,1.0
Queso 100g con 20% off llevando pasta+salsa,2480.0,1.0
20% OFF QUESO RALLADO 100 GR,2000.0,1.0
AMERICANO PARA UNO,2000.0,1.0
CAFE CHICO,1900.0,1.0
TE  GRANDE,1900.0,1.0
sacram/pañuelo 2do 70%,1235.0,1.0
2 EMPANADAS + LATA,444.0,0.12
