Nombre,Total ($),Cantidad
TORTITAS,821926,1463.0
SACRAMENTO RELLENO,798376,840.0
PASTA DEL DIA +LATA/LIMON,787700,117.0
MEDIALUNA,628296,903.0
TRIPLE JYQ/SALAM/ROQU,490800,418.0
PROMO CARTEL ( Café mediano + jugo mediano + 2 medialunas o tortitas),436000,150.0
LAMPONI,434964,344.0
MENU EJECUTIVO,408700,49.0
CAFE MEDIANO,387800,175.0
ROLL CANELA / CHOCOLATE,322320,270.0
EMPANADA CARNE / J&Q / POLLO / CHOCLO,297560,232.0
PROMO MEDIANA ( Infusion mediana + 1 medialuna + tortita),295400,123.0
CAFE GRANDE,291816,108.0
PROMO ESPECIAL ( Infusion grande + 2 facturas especiales),268000,67.0
JUGO NATURAL NARANJA,241476,54.0
PROMO GRANDE (Infusión grande + 2 medialunas o tortitas),233100,63.0
"SORRENTINOS JQ CAJA 0,5 KG",201000,18.0
PAN COMUN X KG,191987,114.015
LICUADO / SMOOTHIE,184900,43.0
PROMO JYQ ( Infusion grande + 2 medialunas jyq),184500,41.0
PROMO CARTEL ( Licuado + 3 triples),175000,35.0
MEDIALUNA JAMON y QUESO,159900,123.0
SORRENTINOS CARTA,158020,23.0
AMERICANO PARA DOS,140500,7.0
MENDOCINO ( Infusión + 1 medialuna o tortita),139700,43.0
GRAN MENDOCINO ( Infusion + 2 medialunas o tortas + jugo),137600,30.0
PIZZA CARNE MECHADA+CERVEZA 1L,134100,9.0
MILA NAPOLITANA CARNE,133400,16.0
POSTRE PARA DOS,130720,25.0
GRAND PAIN AU CHOCOL,120000,75.0
MILANO ( Infusión + palta + huevo +1 tostadas + jugo natural),117100,13.0
TARTA+ENSALADA CARTA,113600,24.0
PAN MOLDE INTEGRAL,112500,25.0
RAVIOLES 30% OFF 3RA UNIDAD,109890,5.0
PROMO TOSTADO ( Infusión grande + 4 tostados),108300,19.0
DOCENA EMPANADAS,106820,7.0
JARRA DE LIMONADA CARTA,105700,19.0
ÑOQUIS CARTA,102090,17.0
YOGURT CON GRANOLA,98900,23.0
GASEOSA 500ml CARTA,95100,44.0
PASTA DEL DIA,91800,20.0
QUESO RALLADO GRANDE 100 GM,91180,21.0
DOC MEDIALUNAS,89700,16.0
GASEOSA LATA 310 ML,89300,66.0
GASEOSA 500ML,88460,40.0
RISTRETTO / ESPRESSO,86800,42.0
SACRAMENTO/ MED RELLENA  CARTA,86800,62.0
2 LOMOS CARNE MECHADA+CERVEZA 1L,84000,4.0
CROISSANT,83200,52.0
PROMO GRANOLA ( Infusión grande + yogurt con granola + 2 tostados),83200,13.0
RAVIOLES CARTA,82420,12.0
ALFAJOR LA VENE,79360,54.0
"GASEOSAAA 1,5L",79200,17.0
MILA NAPOLITANA POLLO,73500,9.0
ARGENTO ( Infusión + 2 tostadas + jugo natural),67500,9.0
FRAPPE LA VENE,66000,22.0
SORRENTINOS 30%OFF 3RA UNIDAD,62100,2.0
CAPUCCCINO,60400,20.0
LIMONADA C/ JENGIBRE Y MENTA,60200,14.0
AGUA SABORIZADA 1.5LT,59700,15.0
RAVIOLES CARNE CAJA,59100,7.0
POLLO Y PALTA,57540,11.0
