Nombre,Total ($),Cantidad
MEDIALUNA,772772.0,1088.0
CROISSANT RELLENO,588378.0,59.0
CAFE MEDIANO,494900.0,230.0
TORTITA RASPADA,487530.0,888.0
CAFE GRANDE,456200.0,163.0
8. COMBO MENDOCINO: infusión+medialuna o tortita,342400.0,107.0
LAMPONI,341448.0,245.0
MEDIALUNA JAMON QUESO,276202.0,179.0
GRAN MENDOCINO (Infusión + 2 medialunas + jugo),270000.0,60.0
JUGO DE FRUTAS NATURAL,266300.0,58.0
DOCENA EMPANADAS 10 x 12,243670.0,23.0
MEDIALUNA RELLENA DULCE DE LECHE,233338.0,224.0
TRIPLE JYQ,220138.0,261.0
3 SORRENTINOS 3RA 30%OFF,209250.0,7.0
MEDIALUNA RELLENA CREMA PASTELERA,193740.0,225.0
ROLL CANELA,192842.0,154.0
SACRAMENTO RELLENO MEMBRILLO,185644.0,196.0
PROMO CAFE + 2 MEDIALUNA +JUGO,182700.0,63.0
SORRENTINOS JQ,178510.0,33.0
CARTA - ÑOQUIS,177300.0,36.0
ROLL CHOCOLATE,176880.0,151.0
SACRAMENTO CHOCOLATE,165840.0,173.0
CARTA - TALLARINES,160280.0,34.0
1. AMERICANO VENE P/2: 2 infusiones+2jugos+2 facturas+4 tostadas+huevos+jamon+palta+fruta,159200.0,8.0
PAN COMUN X KG,157212.3,54.013
3 RAVIOLES 3RA 30%OFF,155790.0,7.0
PROMO PASTA DIA+BEBIDA+PAN,147200.0,24.0
SMOOTHIE / LICUADO,146200.0,34.0
CARTA - RAVIOLES,141579.0,23.0
TORTITA PINCHADA,140470.0,264.0
6. MILANO (Infusión + palta + huevo + 2 tostadas + jugo),133500.0,15.0
MILANESA MAMINA,132220.0,21.0
CARTA  - TARTA DEL DIA,127400.0,26.0
2 SORRENTINOS 2DA 15%OFF,122100.0,6.0
SALSA BOLOGNESA,116583.0,24.0
CARTA -SORRENTINOS,108330.0,21.0
CARTA - SANDWICH POLLO PALTA,106788.0,17.0
TORTITA HOJA,106346.0,173.0
FIDEOS HUEVO,98190.0,27.0
SORRENTINOS CALABAZA,89690.0,20.0
4. ARGENTO (Infusión + 2 tostadas + jugo),87600.0,12.0
DOCENA TRIPLES,84000.0,7.0
CARTA - MEDIALUNA JAMON,83200.0,53.0
RISTRETTO / ESPRESSO / CAFE CHICO,83000.0,42.0
RAVIOLES RICOTA,82640.0,21.0
CROISSANT,82480.0,35.0
RAVIOLES DE ZAPALLO,81460.0,16.0
PROMO PASTA DEL DIA,77100.0,17.0
PROMO MENU EJECUTIVO,75000.0,10.0
2 RAVIOLES 2DA 15% OFF,74170.0,5.0
RASPADITA (Infusión + tortita + dips),73500.0,15.0
EMPANADA CARNE,69660.0,124.0
CARTA - MEDIALUNA MANTECA,68200.0,249.0
5. ITALIANO (Infusión + 2 medialunas  JYQ + jugo),67500.0,9.0
CHOCOTORTA,66600.0,16.0
CARTA TOSTADO - TRIPLE MIGA X3,65600.0,16.0
PAN MOLDE INTEGRAL,63000.0,16.0
FRAPPE LA VENE,59400.0,20.0
SALSA TUCO,56000.0,16.0
LIMONADA,55900.0,13.0
EMPANADA JYQ,53200.0,65.0
CARTA - SACRAMENTO CHOCOLATE,51800.0,38.0
BROWNIE POSTRE,50276.0,6.0
RAVIOLES TERNERA,49800.0,8.0
SUSCRIPCIÓN ALMUERZO,49000.0,1.0
ENSALADA POLLO GRILLADO,48300.0,7.0
PAN DE CHOCOLATE XL,48000.0,30.0
SALSA POMAROLA,46400.0,8.0
CARTA - TORTITA RASPADA,44800.0,121.0
CARTA - SACRAMENTO MEMBRILLO,44800.0,33.0
"ÑOQUIS PAPA CAJA 0,500 KG",44620.0,5.0
SUBMARINO,42400.0,14.0
PAN MOLDE ZANAHORIA,42000.0,10.0
QUESO RALLADO GRANDE,41900.0,13.0
"COCA COLA 1,5L",41320.0,9.0
TORTA LIMON COCADO 20CM,41000.0,2.0
RAVIOLES VERDURA,40700.0,12.0
CARTA  - PIZZA ITALIANA JAMON - VEGGIE,40200.0,4.0
CARTA- TRIPLE UNIDAD,39600.0,33.0
AGUA  500ml,39150.0,38.0
AGNELOTTIS LOMITO,38005.0,5.0
CARTA - LAMPONI,36800.0,24.0
POWERADE 500ml,36500.0,21.0
SORRENTINOS QUESO,36100.0,6.0
"CARTA- GASEOSA, AGUA SABORIZADA 500",35700.0,16.0
SPRITE 500ml,35056.0,10.0
"COCA COLA ZERO 1,5L",34970.0,3.0
DOCENA MEDIALUNAS,34500.0,6.0
CARTA - ROLL CANELA,34500.0,25.0
TE GRANDE,33500.0,28.0
CHEESCAKE POSTRE,32850.0,8.0
FIDEOS PAPPARDELLE,31900.0,7.0
BUDIN PREMIUM,31399.0,4.0
ALFAJOR,30810.0,20.0
CARTA PORCION DE TOSTADAS X2+DIP QUESO+DIP DULCE,29700.0,9.0
COCA COLA 500ml,29400.0,18.0
CARTA  - PIZZA ITALIANA MUZZA,28290.0,4.0
PROMO CAFE+ 2 MEDIALUNAS,27300.0,7.0
BUDIN NARANJA,27300.0,9.0
jarra limonada,27100.0,5.0
CAPUCCINO,26700.0,19.0
