Nombre,Total ($),Cantidad
TORTITAS,859116.0,1566.0
SORRENTINOS PREPARADOS,798649.0,104.0
PIZZA JAMON/VEGGIE/PEPE,787044.0,54.0
RAVIOLES PREPARADOS,629196.0,97.0
MEDIALUNA,628170.0,877.0
MEDIALUNA/SACR. RELLENO,597550.0,622.0
EMPANADA CARNE / J&Q / POLLO / CHOCLO,545478.0,479.0
ROLL UNIDAD,496569.0,391.0
TRIPLE UNIDAD,465696.0,373.0
MEDIALUNA JAMON QUESO,412800.0,324.0
DOCENA MEDIALUNAS,402686.0,57.0
PAÑUELITO/MEMBRILLITO,305376.0,297.0
DOCENA EMPANADAS,302740.0,26.0
RAVIOLES 2 UNIDAD 15%dto,282125.0,19.0
CAFE MEDIUM,281326.0,128.0
PAN COMUN X KG,270887.9,105.585
PASTA DEL DIA : tagliatelle con salsa fileto/crema y quesito rallado U OTRO,267219.0,56.0
SORRENTINOS QU/JYQ/INTE/CALA,261900.0,23.0
RAVIOLES RIC/VER/CALA/CARNE,223190.0,27.0
LAMPONI,217656.0,178.0
3 SORRENTINOS 3RA 30%OFF,206010.0,7.0
TAGLIATELLE PREPARADOS con salsa fileto/crema y quesito rallado,202911.0,43.0
CROISSANT RELLENO,202050.0,70.0
"GASEOSA 1,5L",197400.0,41.0
PAN MOLDE X UNIDAD,191600.0,45.0
SORRENTINOS 2DA UNIDAD 15% DES,188145.0,9.0
2DO PAN MOLDE 15% OFF,178710.0,23.0
"TAGLIATELLE HUEVO BOLSA 0,5KG",173400.0,33.0
RAVIOLES 30%OFF,170640.0,8.0
SALSA BOLOGNESA,170500.0,33.0
CAFE LARGE,170419.0,67.0
MENU EJECUTIVO:PASTA+BEBIDA+POSTRE,165900.0,21.0
GRAND PAIN AU CHOCOLAT (PAN O SHOCOLA),160000.0,100.0
POSTRES GRANDES CHES/CHOCO/BROW,143946.0,34.0
PIZZA MUZZA,139670.0,13.0
ENSALADA LA VENE,131983.0,22.37
SUSCRIPCION DE ALMUERZO,127000.0,3.0
MINI ALFAJOR BOLSA X6,123680.0,47.0
MILA C/GUARNICION,123425.0,17.0
TORTA GRANDE,120120.0,7.0
ÑOQUIS PREPARADOS,117627.0,23.0
DOCENA TORTITAS,112000.0,22.0
6 FACTURAS SURTIDAS,110536.0,20.0
CAFE GRANDE PARA LLEVAR,110160.0,44.0
TAGLIATELLE 2DA 15% FIDEOS,108225.0,13.0
MILA NAPO C/GUARNICION,99570.0,8.0
QUESO RALLADO GRANDE 100 GM,95215.0,30.0
YOGUR C/ GRANOLA (carta),94600.0,22.0
AGNOLOTTIS PREPARADOS,83975.0,16.0
BUDIN NARANJA / LIMON,80600.0,19.0
"GASEOSA 0,5L",80459.0,52.0
SUSCRIPCION CAFE MEDIANO O MEMBRESIA,78000.0,4.0
JUGO NATURAL ( carta),73100.0,17.0
TARTA,70800.0,14.0
TUCO,70700.0,22.0
SANDWICH POLLO Y PALTA,65880.0,11.0
DOCENA TRIPLES,65280.0,5.0
ENSALADA DE FRUTAS  (carta),63420.0,12.0
PASTA DEL DIA + BEBIDA,59000.0,10.0
GRAM MENDOCINO 2 MEDIALUNAS+JUGO,58500.0,13.0
AMERICANO P/UNO ( carta),56260.0,5.0
TORTITA JAMON Y QUESO,52930.0,35.0
PIZZA MUZARRELA (carta),51860.0,4.0
6X5 EMPANADAS,51540.0,8.0
CAFE SMALL,51300.0,27.0
COMBO MENDOCINO,51200.0,16.0
"ÑOQUIS PAPA CAJA 0,500 KG",50340.0,8.0
NAPO BOX,49600.0,4.0
AMERICANO P2,49320.0,2.0
PAN CASERO,47640.0,18.0
PAN DULCE- chocolate y almendra,41965.0,3.0
SALSA CREMA,41500.0,13.0
SALSA POMAROLA,40120.0,7.0
PAN DULCE- frutas y almendras,39700.0,4.0
PORCION DE TARTA + ENSALADA,39200.0,8.0
PAN DE MINI LECHE,38080.0,9.96
3 TAGLIATELLE 3RA 30%OFF,36450.0,3.0
BUDIN PREMIUM,36220.0,7.0
"AGUA MINERAL 0,5L",35010.0,16.0
RAVIOLES PY,33720.0,3.0
ÑOQUIS 15 EN LA SEGUNDA,32745.0,3.0
MANZANITAS,32300.0,34.0
TORTITA ( carta),28600.0,44.0
ENSALADA POLLO GRILLADO (CARTA),27600.0,4.0
BAGEL CON JAMON Y QUESO ( carta),24300.0,6.0
ROLL ( carta),24000.0,15.0
PAN DULCE- relleno choco y corazon de dd,23000.0,2.0
BAGEL VEGUIIE,22710.0,5.0
MAYO V 270G MAYONESA VEGANA,22515.0,3.0
SUSCRIPCION CAFE GRANDE MEMBRESIA,22500.0,1.0
GASEOSA LATA 300ML,22500.0,19.0
ITALIANO: INFUSION+ 2 MEDIALUNAS+JUGO CHICO,22500.0,3.0
QUESO RALLADO CHICO 50GR,22500.0,9.0
PAN PANINI,22200.0,6.0
"GASEOSA 0,5 (carta)",22100.0,13.0
GASEOSA 1.5L ( carta),21500.0,5.0
JARRA LIMONADA 1L ( carta),21200.0,4.0
BAGEL VEGGIE ( carta),20850.0,5.0
6X5 TORTITAS PY,19800.0,5.0
AGUA SABORIZADA 1.5,19800.0,6.0
ARGENTO infusion+2tosta+queso+dulce+jugo chico,19600.0,3.0
MEDIALUNA ( carta),18700.0,17.0
MEDIALUNA JYQ ( carta),18000.0,12.0
BAGUETTIN JYQ,18000.0,4.0
MINI TORTA,18000.0,4.0
CAFÉ XL (carta),17400.0,6.0
PROMO BUDIN CLASICO + BUDIN PREMIUM 15OFF,16550.0,2.0
XL MEAT LOVERS,16300.0,1.0
PEPERONI BOX,15999.0,1.0
ALFAJOR,15820.0,10.0
2DO BUDIN 15% OFF LIMON/NARANJA,15540.0,2.0
SACRAMENTO (carta),15200.0,16.0
TARTA DULCE cabsha / coco / ricota,15000.0,1.0
ICE LATTE (carta),13800.0,6.0
PAPPARDELLE,13399.0,3.0
LICUADO ( carta),12900.0,3.0
BAGEL HUEVO REVUELTO,12600.0,3.0
MEAT LOVERS BOX,12600.0,1.0
"AGUA MINERAL 1,5",11600.0,4.0
VASO LIMONADA ( carta),11100.0,3.0
SANWICH MILA POLLO,10600.0,2.0
FRAPPE LA VENE ( carta),10400.0,4.0
CHOCOLATADA (carta),10000.0,4.0
MUZA/NAPO/PEPPE SMALL,9600.0,1.0
MILANO: INFUS+JUGO+PALTA+HUEV+TOSTA,8900.0,1.0
CAFE + 1 MEDIALUNA,8700.0,3.0
vaso domo soda,8400.0,5.0
CROISSANT MASA MADRE,8000.0,5.0
TE GRANDE,7600.0,4.0
BAGEL SEMILLA X2,7600.0,4.0
SANWICH POLLO Y PALTA (carta),6900.0,1.0
TRIPLE CRUDO,6600.0,6.0
LAMPONI ( carta),6100.0,4.0
POSTRE PY,5850.0,1.0
TOSTADO DE MIGA X3+CAFE G,5500.0,1.0
ADICIONAL,5000.0,1.0
SALSA PESTO CHICA,4900.0,1.0
3 SAND MIGA + LATA,4900.0,1.0
BAGUETIN JYQ + BEBIDA LATA,4900.0,1.0
PANINI JYQ/LOMITO/SALAME,4500.0,1.0
"SODA 2,15 L",4500.0,2.0
PAÑUELITO ( carta),4400.0,4.0
DANES: INFUSION + ROLL,4200.0,1.0
CAFE MEDIANO P/LL,3900.0,2.0
BAGEL HUEVO REVUELTO (carta),3900.0,1.0
TORTITA JAMON QUESO ( carta),3600.0,3.0
SANDWICH LOMITO CHEDDAR,3600.0,1.0
TAGLIATELLE SALTEADOS C/ VERDURAS,3500.0,1.0
MENU KIDS ( TFIDEOS O ÑOQUIS) PORCION PEQUEÑA,3500.0,1.0
COOKIE COFFE,2900.0,1.0
CAPUCCINO ( carta),2500.0,1.0
PORCION BUDIN X2,1900.0,1.0
AGUA 500cc (carta),1700.0,1.0
EMPANADA CARTA,1580.0,2.0
Mini jugo sodin,1500.0,1.0
MANZANITAS ( carta),1100.0,1.0
CUP QUESO CREMA,150.0,1.0
