Nombre,Total ($),Cantidad
MUZZA XL BOX,767779.0,64.0
TORTITAS,732167.0,1268.0
DOCENA EMPANADA,622800.0,46.0
MEDIALUNA,520988.0,718.0
DOCENA MEDIALUNAS,513244.0,65.6
ROLL UNIDAD,390020.0,299.0
MEDIALUNA/SACRAMENTO RELLENO,366960.0,372.0
Pasta del dia,338256.0,74.0
JAMON YORK XL,312199.0,23.0
LAMPONI,292675.0,236.0
EMPANADA C/P/JYQ/CAPRESSE,290991.0,217.0
DOC. FACTURAS SURTIDAS,280982.0,29.5
MUZZA + PAPAS C/CHEDDAR,277350.0,16.0
MEDIALUNA JAMON QUESO,272246.0,173.0
POSTRE P/COMPARTIR,262560.0,49.0
Peppe + gaseosa 1.5,261540.0,16.0
CAFE MEDIUM,256040.0,115.0
TRIPLES UNIDAD,251366.0,203.0
CAFE LARGE,247000.0,94.0
muzza xl +12 emp,245640.0,9.0
SUSCRIPCIÓN ALMUERZOS,245000.0,5.0
DOCENA TRIPLES,240988.0,18.5
GASEOSA 1.5 .,233610.0,48.0
Sorrentinos 15% off en la 2da unidad,230690.0,11.0
JAMON MEDIUM BOX,227910.0,18.0
"SORRENTINOS CALAB CAJA 0,5 KG",225300.0,19.0
MUZZA SMALL BOX,222250.0,34.0
PAN MOLDE,206600.0,48.0
SORRENTINOS PREP,197579.0,25.0
PAÑUELITOS,196690.0,196.0
PAN COMÚN,174933.4,51.74
MEAT LOVE XL,173203.0,13.0
MUZZA MEDIUM BOX,171500.0,15.0
PEPPERONI MEDIUM BOX,167000.0,14.0
PEPPERONi XL,153799.0,11.0
30%OFF X3 SORRENTINOS,152010.0,5.0
GRAN MENDOCINO,151500.0,33.0
"Tagliatelle BOLSA 0,5KG",150905.0,29.0
PIZZAS XL AL 30%,148750.0,7.0
RAVIOLES CAJA 0.500GR,145775.0,18.0
Thor Burguer,143900.0,17.0
MEAT LOVE MEDIUM,140800.0,11.0
CROISSANT RELLENO,138910.0,46.0
