Nombre,Total ($),Cantidad
Papas Chedd/Panceta,2595000,346
Pizza Serrana Gran,2550000,170
Cerveza  Patagonia 730cc,2339500,414
Gaseosa 500cc,2326300,987
Jarra de limonada con frutos rojos,2048000,344
Pizza Jamon York Grande,1984500,147
Pizza Mechada Gran,1725000,115
Jarra Limonada Clásica,1284000,232
Avocado Burger,1275000,150
Pizza Serrana Chica,1244500,131
Pizza Mozza Grande,1189000,97
Pizza PolloTery Gran,1125000,75
Onion Burger,1122000,132
CORONA  710,1091000,194
Pizza Meat Lover Grande,972000,72
Cheddar Burger,935000,110
Pizza Full Cheese Gran,850500,63
Pizza Pepperoni Grande,769500,57
Pizza Mechada Chica,722000,76
Sandwich Carne Mechada,645000,86
Pizza Jamon York chica,640000,80
Papas Clásicas,609000,145
Pizza Pollo Tery Chica,608000,64
Pizza Napo Gran,499500,37
Pizza Full Cheese Chica,480000,60
Original Burger,476000,56
Aros de Cebolla,465000,62
MOJITO,452000,113
Pizza Meat Lover chica,432000,54
GIN,416000,104
FIESTA,390500,71
Pizza Mozza chica,360000,45
Agua Mineral 500cc,354800,169
Pizza Pepperoni chica,328000,41
Pizza Sin Tacc,320000,32
Pizza Napo Chica,312000,39
Agua Saborizada 500cc,289300,123
FERNET,244000,61
Pizza Veggie Gran,216000,16
Cerveza Lata 330cc,201600,63
Pizza Veggie Chica,184000,23
VERMOUTH,160000,40
APEROL SPRITZ,156000,39
Ensalada Pollo Grillado,146000,20
NEGRONI,140000,35
Agua Mineral c/gas 500cc,119600,57
Veggie Burger,119000,14
limonada chica frutos rojos,115300,32
Pizza RedOnion Grande,108000,8
Agregado medallón,97500,39
Pizza Red Onion Chica,96000,12
MELÓN FRESH,90000,18
limonada chica,77500,25
Chesecake,75200,16
Vino Malbec,70000,7
Pizza Vegana Grande,67500,5
BOX SOUR,60000,15
Ensalada Veggie,55500,9
Cup Salsa,43450,55
Mousse de Chocolate,42300,9
TOM COLLINS,40000,10
Ensalada de Frutas,39000,10
COBBLER FANS,32000,8
Chocotorta,28200,6
Vino Blanco,20000,2
Agregado papas,16800,4
Pizza Dulce,13500,3
Postre Sin Tacc,11000,2
Pizza Vegana Chica,8000,1
Medallón De Carne Extra,5000,2
