Nombre,Total ($),Cantidad
"SORRENTINOS JQ QUESO CALAB INTEGRALES CAJA 0,5 KG",390275.0,34.0
P1- Café mediano + 2 medialunas + jugo sodín,382300.0,125.0
TRIPLE JQ/RQ/SALAME,373400.0,315.0
TORTITA,359050.0,648.0
MEDIALUNA,341108.0,489.0
JUGO DE FRUTA NATURAL,309200.0,70.0
CAFE MEDIANO,301600.0,134.0
MEDIALUNA/SACRAMENTO RELLENO para llevar,292356.0,306.0
RAVIOLES RICOTA CALAB ACELGA TERNERA CAJA,271000.0,32.0
ROLL UNIDAD,241680.0,196.0
CAFE GRANDE,222400.0,84.0
EJECUTIVO,217400.0,26.0
COMBO MENDOCINO,202400.0,62.0
DOCENA SURTIDAS,168000.0,14.0
GRAN MENDOCINO,167000.0,36.0
DOCENA MEDIALUNAS,160080.0,23.0
LICUADO,141800.0,32.0
FRAPPE LA VENE,140100.0,47.0
TOSTADO X3 CAFETERIA,123000.0,30.0
PAÑUELITO,101762.0,106.0
MEDIALUNA JAMON QUESO,97500.0,75.0
MILANO,90200.0,10.0
6X5 FACTURAS ESPECIALES,89820.0,15.0
Lamponi,87360.0,72.0
AMERICANO VENE PARA 2,81400.0,4.0
ARGENTO,81300.0,11.0
AMERICANO VENE PARA 1,75100.0,7.0
LIMONADA VASO,74700.0,17.0
MINI TORTA P/ LLEVAR,72000.0,16.0
CAFE GRANDE PARA LLEVAR,66500.0,25.0
PAN COMUN X KG,62879.4,16.752
JARRA LIMONADA CAF.,61700.0,11.0
SORRENTINO PREPARADOS,61420.0,10.0
GASEOSA 500CC,59440.0,31.0
"TAGLIATELLE HUEVO CALAB VERDES REMO PAPAR 0,5KG",52040.0,11.0
CAFE CHICO,51500.0,25.0
RASPADITA,50400.0,10.0
MEDIALUNA CAFETERIA,49500.0,45.0
SALSA BOLOGNESA,49000.0,10.0
6x5 TORTITAS,48780.0,16.0
Pasta del dia + jugo/limonada/ LATA,48300.0,7.0
GASEOSA LATA,47000.0,30.0
ANGELOTTI PREPA,46435.0,8.0
GASEOSA 500CC CAFETERÍA,45500.0,21.0
TARTA UNIDAD,44100.0,9.0
DOCENA TORTITAS,44000.0,8.0
PAN DULCE chocolate y más almendras,43600.0,4.0
6x5 MEDIALUNAS COMUNES,42000.0,12.0
MEDIALUNA/SACRAMENTOS CAFETERIA,42000.0,30.0
TORTITA CAFETERIA,41600.0,52.0
MEDIALUNA JYQ CAFETERIA,40000.0,25.0
CAPUCCINO,39900.0,13.0
TORTITA JAMÓN Y QUESO,38000.0,31.0
POSTRE CHESS/CHOC/BROW,37350.0,8.0
QUESO RALLADO 100G,37270.0,11.5
DOCENA TRIPLES,36000.0,3.0
BUDIN DE LIMON / NARANJA,33600.0,8.0
SALSA POMAROLA,33000.0,6.0
COMBO DANES,29800.0,7.0
PAN MOLDE X UNIDAD (CENTENO/INTEGRAL/ZANAHORIA),29400.0,7.0
MINI TORTA CAFETERIA,28200.0,6.0
SUBMARINO,27900.0,9.0
SANDWICH DEL DÍA + BEBIDA,27500.0,5.0
CAFE MEDIANO PARA LLEVAR,27200.0,12.0
ALFAJOR,26000.0,20.0
RAVIOLES PREP,25730.0,5.0
"ÑOQUIS PAPA CALAB CAJA 0,500 KG",24780.0,4.0
Fideos PREP,24199.0,7.0
pan molde 2da unidad 15% off,23310.0,3.0
ITALIANO,23100.0,3.0
YOGURT CON GRANOLA,22100.0,5.0
TE GRANDE,22100.0,11.0
MERMELADA DAMASCO FRUTILLA,21900.0,3.0
SALSA TUCO,21700.0,6.0
BAGEL CAFETERÍA,21700.0,5.0
SALSA CREMA,18920.0,5.0
POSTRE CHESS/CHOCOTORTA/BROWNIE CAFETERIA,18800.0,4.0
ÑOQUIS PREPARADOS,18790.0,4.0
EMPANADA UNIDAD,17849.0,14.0
ENSALADA DE FRUTA,17200.0,4.0
PAÑUELITOS CAFETERIA,16800.0,12.0
ALFAJOR CAFETERIA,16000.0,10.0
CROISSANT RELLENO,14500.0,5.0
LAMPONI CAFETERIA,14400.0,9.0
BUDIN PREMIUM,14400.0,3.0
DOCENA EMPANADAS,13500.0,1.0
Adiconal huevo revuelto,12900.0,3.0
TOMATE FRESCO CONSERVA,12900.0,3.0
COMBO INGLES,12800.0,3.0
BAGUETIN JYQ PARA LLEVAR,12300.0,3.0
2 Mini cake + 2 cafes + juguito,12200.0,1.0
CHOCOLATADA,12000.0,4.0
SANDWICH POLLO Y PALTA,11800.0,2.0
ENSALADA LA VENE,11800.0,2.0
CERVEZA LATA CAFETERIA,11700.0,3.0
AGUA SODA 0.5 CAFETERIA,11700.0,6.0
"PAN DULCE RELLENO chocolate, almendras y dulce de leche",11500.0,1.0
SAND. SALAME Y QUESO,10600.0,2.0
SAND POLLO PALTA CAFETERIA,10600.0,2.0
TOSTADAS X2 QUESO CREMA Y DULCE CAFETERIA,9900.0,3.0
"PAN DULCE MILANES fruta, choco y almendras",9900.0,1.0
pasta dia + limonada,9800.0,2.0
PORCION TARTA Y ENSALADA,9800.0,2.0
ADICIONAL,9700.0,14.0
CROISSANT,9600.0,6.0
PAN DE LECHE X KG,9460.0,2.55
PASTA DEL DÍA,9200.0,2.0
ADICIONAL PALTA,9100.0,3.0
