Nombre,Total ($),Cantidad
MEDIALUNA,2237808.0,3151.0
Producto Genérico,1735833.95,170.0
TORTITA,1364350.0,2481.0
CAFE MEDIANO,851600.0,382.0
MEDIALUNA/SACRAMENTO RELLENO,851200.0,896.0
ROLL UNIDAD,667200.0,556.0
Lamponi,629040.0,506.0
CAFE GRANDE,625200.0,237.0
MEDIALUNA JAMON QUESO,612300.0,471.0
EMPANADA UNIDAD,607650.0,461.0
"SORRENTINOS JQ QUESO CALAB INTEGRALES CAJA 0,5 KG",588400.0,52.0
RAVIOLES RICOTA CALAB ACELGA TERNERA CAJA,535700.0,65.0
Fideos tallarines PREP,533300.0,115.0
SORRENTINO PREPARADOS,524300.0,66.0
RAV. PREPARADOS,468400.0,73.0
TRIPLE JQ/ROQ/SALA/CRUDO,447600.0,373.0
PAN COMUN X KG,442675.4,119.642
PAÑUELITO PASTELERA/DULCE DLECHE,413250.0,435.0
6x5 tortitas surtidas,410520.0,106.0
12x10 medialunas.,397664.0,40.0
Roll,397440.0,276.0
CROISSANT RELLENO,356700.0,123.0
JUGO DE FRUTA NATURAL,346200.0,82.0
Sorrentinos con salsa y queso,339640.0,50.0
GRAN MENDOCINO medialuna,336300.0,73.0
COMBO MILANO infusion+palta+huevo+jugo chico,296100.0,33.0
DOCENA EMPANADAS,278200.0,21.0
2 porciones de sorrentinos,262080.0,14.0
"FIDEOS HUEVO CALAB VERDES REMO PAPAR 0,5KG",241000.0,52.0
Ñoquis del día con tuco y queso,236850.0,35.0
ENSALADA LA VENE,236000.0,40.0
GASEOSA 1.5 CAFETERIA,230000.0,44.0
JARRA LIMONADA CAF.,218900.0,39.0
PAN MOLDE X UNIDAD (CENTENO/INTEGRAL/ZANAHORIA),218400.0,52.0
GASEOSA 1.5,214900.0,47.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),208000.0,130.0
AMERICANO VENE PARA 2,203200.0,10.0
TOSTADO X3 CAFETERIA,198900.0,51.0
COMBO MENDOCINO medialuna,192500.0,59.0
12X 10 empanadas,181440.0,9.0
SALSA BOLOGNESA,161700.0,33.0
GRAN MENDOCINO con tortita y medialuna,155600.0,34.0
30%OFF X3 RAVIOLES,154170.0,7.0
30%OFF X3 SORRENTINOS,153630.0,5.0
POSTRE CHESS/CHOC/BROW,153000.0,34.0
GASEOSA 0.5 CAFETERA,151300.0,71.0
Pañuelito,150588.0,141.0
QUESO RALLADO 100G,148000.0,46.0
COMBO ITALIANO infusion grande + medialuna jyq,145500.0,19.0
CAFE CHICO,140000.0,70.0
MEDIALUNA CAFETERIA,138600.0,126.0
PIZZA ESPECIAL jamon/peperoni/veggie,138200.0,13.0
DOCENA MEDIALUNAS,138000.0,20.0
ÑOQUIS PREPARADOS,135700.0,23.0
COMBO MENDOCINO tortita,131100.0,40.0
