Nombre,Total ($),Cantidad
MEDIALUNA,345960,466.0
TORTITAS,269958,474.0
PASTA DEL DIA,238150,42.0
PAÑUELITO/MEMBRILLITO,237210,242.0
SACRAMENTO RELLENO,207170,211.0
"TRIPLE UNIDAD JYQ , ROQUEFORT, SALAME",199056,166.0
ROLL UNIDAD,196560,153.0
"SORRENTINOS JQ CAJA 0,5 KG",156060,13.0
LAMPONI,142200,113.0
Sandwich pollo y palta,129600,21.0
PAN COMUN ,120169,31.755
6 x 5 tortitas,107250,35.0
3 SORRENTINOS 3RA 30%OFF,91530,3.0
"EMPANADAS JYQ,CARNE,POLLO,CHOCLO",88290,66.0
12X10 DOCENA MEDIALUNAS,78122,10.0
1. AMERICANO VENE P/2: 2 infusiones+2jugos+2 facturas+4 tostadas+huevos+jamon+palta+fruta,71880,3.0
SALSA BOLOGNESA,70560,14.0
ENSALADA LA VENE,69400,10.0
ADES GRANDE,68300,17.0
6 x 5 medialunas,65550,19.0
15% 2DA CAJA SORRENTINOS,62715,3.0
QUESO RAYADO GRANDE,61700,18.0
PROMO CAFE grande para llevar + 2 MEDIALUNA,60700,17.0
CARTA - POSTRE -CHEESECAKE / CHOCOTORTA / BROWNIE,60300,11.0
CAFE GRANDE P/LLEVAR,60280,22.0
RAVIOLES VERDURA,57560,6.0
Medialuna Rellena,53430,55.0
Gaseosa 500 cc,48240,23.0
SALSA TUCO,46200,12.0
"agua saborizada1,5",44300,11.0
3 RAVIOLES 3RA 30%OFF,44280,2.0
2. AMERICANO PARA UNO: 1 infusion+1 jugos+1 factura+2 tostadas+huevos+jamon+palta+fruta,41580,3.0
CHEESECAKE FAMILIAR,41000,2.0
Tarta Grande CABSHA,40000,3.0
"pan delce de frutas, choco y almendra",39600,4.0
RAVIOLES TERNERA,39180,4.0
CARTA - PIZZA ITALIANA MUZZA,39150,4.0
GASEOSA LATA 310 ML,38600,28.0
12 SURTIDAS ESPECIALES,38000,4.0
12X10 DOCENA DE TRIPLES,36000,3.0
MEDIALUNA JAMON QUESO,35880,25.0
RAVIOLES RICOTA CAJA,35780,4.0
"FIDEOS HUEVO BOLSA 0,5KG",35780,7.0
ALFAJOR,34960,25.0
"ÑOQUIS PAPA CAJA 0,500 KG",32540,5.0
8. COMBO MENDOCINO: infusión+medialuna o tortita,32500,10.0
15% 2DA CAJA RAVIOLES,30340,2.0
SMOOTHIE / LICUADO,30100,7.0
ENSALADA DE FRUTA,29500,5.0
BUDIN,29400,6.0
RAVIOLES DE ZAPALLO,27880,3.0
CARTA - PIZZA ITALIANA JAMON - VEGGIE,27720,2.0
"AGUA SIN GAS COMÚN  1,5",26900,9.0
CAFE GRANDE,25800,10.0
AGUA SABORIZADA 500 CM,24700,13.0
"SORRENTINOS QUESO CAJA 0,5 KG",23980,2.0
CARTA -SORRENTINOS JYQ/ QUESO AZUL / CALABAZA/ MUZZARELLA,23700,3.0
pan dulce relleno ddl,23000,2.0
6x5 surtida especial,22560,4.0
PAN MOLDE INTEGRAL,21720,5.0
JUGO DEL DIA,21500,5.0
CHOCOTORTA FAMILIAR,20500,1.0
pan dulce 15%off en la 2una,19915,1.0
"GASEOSA1,5 COCA / FANTA/ SPRITE/POMELO",19600,4.0
MILANESA NAPO+ FIDEOS O ENSALADA,17800,2.0
PAN MOLDE ZANAHORIA,17520,4.0
Tostadas palta y huevo,17500,5.0
12X10 DOCENA TORTITAS,16500,3.0
6x5 alfajor,15140,2.0
Tarta Grande coco y dulce de leche,15000,1.0
DOCENA EMPANADAS 10 x 12,13500,1.0
JUGO DE FRUTAS NATURAL,13300,3.0
TORTITAS J y Q,11880,9.0
TU CAFE XL,11600,4.0
CAFE MEDIANO,11100,5.0
"SORRENTINOS CALAB CAJA 0,5 KG",10900,1.0
YOGURT CON GRANOLA Y FRUTAS,9000,2.0
Gran Mendocino :  1 infu mediana +2 med o tort,9000,2.0
MINI TORTA,9000,2.0
Desayuno Milano: 1 inf gde+ tostada de palta y huevo+jugo,8900,1.0
CARTA TOSTADO - TRIPLE MIGA X3,8200,2.0
3. DESAYUNO ITALIANO:,7500,1.0
CARTA - MEDIALUNA MANTECA,6600,6.0
CHOCOLATADAA,6200,2.0
"ÑOQUIS CALAB CAJA 0,500 KG",5900,1.0
LIMONADA,5900,1.0
SUBMARINO,5800,2.0
CAPUCCINO - MOCACCINO,5800,2.0
RASPADITA: grande+raspada+dip,4900,1.0
QUESO RAYADO CHICO 50GR,4600,2.0
RISTRETTO / ESPRESSO / CAFE CHICO,4000,2.0
CARTA - LAMPONI,3200,2.0
CARTA - TORTITA,3200,4.0
FRAPPE LA VENE,3100,1.0
CARTA - MEDIALUNA JAMON,2800,2.0
AGUA 500C,1800,1.0
