Nombre,Total ($),Cantidad
TORTITA,729479,1329.0
MEDIALUNA,523122,753.0
MEDIAL/SACRAMENTO RELLENO,305736,321.0
"SORRENTINOS JQ QUESO CALAB INTEGRALES CAJA 0,5 KG",219360,20.0
TRIPLE JQ/ROQ/SALA,218400,182.0
suscripcion almuerzo medium,210000,3.0
EMPANADAS 12x10,195500,15.0
CAFE GRANDE CAFETERIA,195100,65.0
Suscripcion Almuerzos,195000,5.0
"FIDEOS HUEVO CALAB VERDES REMO PAPAR 0,5KG",184800,40.0
RAVIOLES RICOTA CALAB ACELGA TERNERA CAJA,175500,21.0
TARTA UNIDAD,164650,34.0
EMPANADA UNIDAD,158400,120.0
ROLL UNIDAD,155280,130.0
COMBO MENDOCINA CAFETERIA,143600,44.0
PAN MOLDE X UNIDAD (CENTENO/INTEGRAL/ZANAHORIA),143040,34.0
CROISANT RELLENO,139200,48.0
GRAN MENDOCINO CAFETERIA,136200,30.0
lamponi,135120,113.0
CAFE MEDIANO CAFETERIA,119800,50.0
JUGO NATURAL CAFETERIA,115400,26.0
MEDIALUNA JAMON QUESO,106600,82.0
CAFE GRANDE PARA LLEVAR,104560,45.0
PAÑUELITO PASTELERA/DULCE DLECHE,104338,109.0
Pasta del dia SORRENTINOS,103800,14.0
PAN FLAUTIN LECHE,103040,27.72
AMERICANO VENE PARA 2,100700,5.0
Pasta del dia RAVIOLES,96640,15.0
PAN COMUN X KG,75540,31.18
SALSA BOLOGNESA,73500,15.0
BUDIN DE LIMON / NARANJA,69300,17.0
ENSALADA LA VENE,65650,11.0
FRAPPE CAFETERIA,63300,21.0
AMERICANO VENE PARA 1,62020,5.0
SANDWICH MILANESA POLLO Y CARNE CAFETERIA,60900,9.0
Ravioles 15% off 2da unidad,59570,4.0
MINI ALFAJORES BOLSA X6,56700,21.0
tostados x 3,52100,13.0
CAFE GRANDE + 2 MEDIALUNAS,50200,14.0
POSTRE CHESS/CHOC/BROW,49950,11.0
JUGO DE FRUTA NATURAL,49100,11.0
Pasta del dia fideos finos/medios/pappardelle,48200,10.0
SUSCRIPCION CAFE GRANDE P LLEVAR,48000,2.0
TORTITA CAFETERIA,47200,59.0
MEDIALUNA CAFETERIA,45100,41.0
GRAND PAIN AU CHOCOLAT,44800,28.0
TORTITA JAMÓN Y QUESO,40260,32.0
SALSA TUCO,38500,11.0
ARGENTO,37300,5.0
Pasta del dia ÑOQUIS,36580,6.0
MILANO,36000,4.0
PAN TIERNIZADO MINI DE LECHE X KG,35012,13.835
SANDWICH POLLO Y PALTA,33900,6.0
SAND POLLO PALTA CAFETERIA,33020,5.0
GASEOSA 1.5 (LLEVAR),32800,7.0
LICUADO CAFETERIA,30900,7.0
MERMELADA DAMASCO FRUTILLA,30800,4.0
Milanesa de CARNE NAPOLITANA C/fideos o ensalada,26300,3.0
Fideos 15% off 2da unidad,26085,3.0
GASEOSA 1.5 CAFETERIA,25900,5.0
MEDIALUNA/SACRAMENTOS CAFETERIA,23800,17.0
