Nombre,Total ($),Cantidad
PROMO BRUSQUETA HUEVO Y PALTA,3931200.0,546.0
CAFE GRANDE,1939800.0,775.0
JUGO NATURAL LOCAL,1933200.0,716.0
"LIMONADA  NARANJA/ FRUTILLA ,FRAMBUESA o CEREZA  POR LITRO",1579000.0,263.0
CAFE MEDIUM,1557600.0,820.0
MEDIALUNA JAMON QUESO,1496000.0,1870.0
MEDIALUNA/SACRAMENTO RELLENO,1431500.0,2045.0
SANDWICH POLLO Y PALTA,1188000.0,196.0
"BRUSQUETA HUEVO Y PALTA(tostada, jamón, queso, huevo revuelto y palta )",1088500.0,268.0
"PROMO JAMON Y QUESO(cafe grande, jugo mediano y med jamon y queso",933800.0,203.0
Med jamón y queso local,869000.0,869.0
MEDIALUNA,817700.0,1363.0
LIMONADA CLASICA X LITRO LOCAL( JENGIBRE Y MENTA),817500.0,147.0
LICUADO C/LECHE o AGUA LOCAL,796800.0,249.0
TORTITAS,758800.0,1897.0
"PROMO COMUN: Café grande, Jugo mediano, Medialuna o Tortita",748000.0,187.0
POSTRE YOGURT CON GRANOLA P/ LLEVAR,724500.0,207.0
"SANDWICH CON HUEVO REVUELTO (pan árabe, queso, jamon y huevo revuelto)",685700.0,129.0
"POSTRES GRANDES(cheesecake, chocotorta, brownie)",624000.0,156.0
SORRENTINOS PREPARADOS C/ SALSA BOLOGNESA,586100.0,67.0
TRIPLE UNIDAD LOCAL,555750.0,585.0
POSTRE YOGURT CON GRANOLA LOCAL,528500.0,151.0
"SORRENTINOS PREPARADOS  C/SALSA CREMA, TUCO O PESTO.",506500.0,62.0
ROLL,504000.0,560.0
SORRENTINOS PREPARADOS C/ SALSA MIXTA,503000.0,55.0
Med. Simple local,493500.0,658.0
ÑOQUIS PREPARADOS  C/ SALSA BOLOGNESA,473000.0,62.0
"SORRENTINOS JYQ, QUESO, INTEGRAL, CALABAZA   CAJA  500gr",472900.0,52.0
GASEOSA/ AGUA SABORIZADA 1.5 LOCAL,468000.0,117.0
"FRAPUCCINO LOCAL( moca, dulce de leche, capu, latte)",455000.0,130.0
MILANESA DE TERNERA  NAPOLITANA CON GUARNICION,452300.0,47.0
JUGO NATURAL MEDIANO LOCAL,430400.0,269.0
GASEOSA/ AGUA SABORIZADA 500cc LOCAL,391500.0,145.0
LIC OREO o VAINILLA LOCAL,388500.0,111.0
VAINILLA LATTE/ CAPU ITALIANO/ EXPRESSO PANNA,379500.0,115.0
Med rellenas local,375200.0,469.0
PIZZA ITALIANA ESPECIAL 6 porciones (jamon),373500.0,36.0
"RAVIOLES RICOTA, CALABAZA, VERDURA, CARNE CAJA X 500 gr",358300.0,42.0
