Nombre,Total ($),Cantidad
TORTITAS,639797.0,1314.0
MEDIALUNA,634586.0,1051.0
2DA UNIDAD 15% RAVIOLES,568505.0,37.0
12x10 medialunas,522226.0,65.0
SACRAMENTO RELLENO/ MEDIALUNA,488658.0,499.0
2DA AL 15% SORRENTINOS,435675.0,21.0
PAN COMUN X KG,407430.94,126.034
6x5 TORTITAS,402236.0,135.0
LAMPONI,366986.0,304.0
SORRENTINOS COMUNES,363920.0,32.0
12X10 EMPANADAS,345800.0,26.0
ROLL UNIDAD,341653.0,274.0
TRIPLES VARIEDADES,340680.0,270.0
30% SORRENTINOS X3 CAJAS,328590.0,11.0
EMPANADAS UNIDAD (VARIEDAD),298816.0,224.0
SUSCRIPCION ALMUERZO,294000.0,6.0
PAÑUELITO,288980.0,304.0
PASTA DEL DÍA,269730.0,58.0
RAVIOLES,245050.0,30.0
CAFE PARA LLEVAR GRANDE,239260.0,91.0
PAN MOLDE,234277.0,54.5
6X5 MEDIALUNAS,232920.0,62.0
6X5 TRIPLES,230302.0,34.0
POSTRE BROW/CHOCO/CHES,222737.0,42.0
TAGLIATELLE,218640.0,46.0
SALSA BOLOGNESA,210700.0,43.0
CAFE PARA LLEVAR MEDIANO,191760.0,80.0
12X10 FACTURAS MIX,178544.0,18.0
2DA AL 15% TAGLIATELLE,178530.0,21.0
SALSA CREMA/TUCO,175700.0,50.0
30% RAVIOLES x3 CAJAS,175470.0,8.0
DOCENA TRIPLES,170400.0,14.0
ENSALADAS,151300.0,25.0
MEDIALUNA JAMON QUESO,146734.0,93.0
"GASEOSA 1,5 L",146378.0,31.0
2DA PAN MOLDE 15%,140970.0,18.0
ÑOQUIS PREPARADO,137080.0,27.0
12X10 TORTITAs,122024.0,24.0
CROISSANT RELLENO,109800.0,38.0
"GASEOSA 0,5 L",106799.0,57.0
SORRENT. PREPARADOS,106760.0,13.0
30% FIDEOS x3 BOLSAS,100440.0,8.0
QUESO RALLADO 100GR,93200.0,30.0
CAFE MEDIANO,89320.0,40.0
CAFE GRANDE,79600.0,30.0
TARTAS DULCE,71400.0,6.0
RAVIOLES PREPARADOS,71110.0,10.0
MUZZA MEDIUM,70500.0,7.0
FIDEOS PREPARADOS,67749.0,13.0
2DA AL 15% ÑOQUIS,65475.0,6.0
BUDIN NARA/LIM,61840.0,14.0
ALFAJOR,54350.0,41.0
LATA COCA 310ML,52100.0,39.0
MINI MAICENA X6,51900.0,18.0
AGUA MINERAL 1.5 L,50100.0,17.0
Mendocino,48700.0,15.0
peperoni mediana,48300.0,4.0
QUESO RALLADO CHICO 50GR,45700.0,18.0
TORTITA JYQ,45618.0,31.0
BUDIN PREMIUM,43636.0,8.0
CAFE CHICO,42500.0,21.0
PAIN AU CHOCOLAT (PAN O CHOCOLA),41570.0,42.0
SALSA POMAROLA,40600.0,7.0
JAMON YORK MEDIUM,39550.0,4.0
AGUA MINERAL 0.5 L,39500.0,23.0
TORTA GRANDE DULCE,38600.0,2.0
ÑOQUI PAPA CALABZ,32250.0,5.0
GranMendocino,31900.0,7.0
TARTA VARIAS,29400.0,6.0
GRAN PAIN AU CHOCOLAT,28800.0,18.0
TARTAS DULCES,27000.0,2.0
Cerveza lata,24600.0,6.0
PIZZA ESPECIAL,22830.0,2.0
MINI TORTAS,22500.0,5.0
ACUARIUS 500ml,22100.0,13.0
SANDWICH POLLO Y PALTA,21200.0,4.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),20800.0,13.0
ENSALADA POLLO,20700.0,3.0
QUESO RALLADO 100G,19680.0,7.0
CEPITA 200ml,18000.0,15.0
PAN CASERO,17800.0,7.0
CEPITA 300ml,17550.0,12.0
PEPPERONI XL,17280.0,1.0
MAYO VEGANA,16600.0,2.0
TOSTADOS X3,16400.0,4.0
30% ÑOQUIS x3 CAJAS,15930.0,1.0
TE INFUSION,15600.0,8.0
6X5 ALFAJORES,14500.0,2.0
YOGURT CON GRANOLA,14000.0,4.0
muzza mediana,13900.0,1.0
MILANESA CON GUARNICION,13800.0,2.0
MENU EJECUTIVO,13800.0,2.0
MINI COOKIESX6,13500.0,5.0
Roll+Infucion (danes),12600.0,3.0
PEPPERONI MEDIUM,12600.0,1.0
CAPUCCINO,12500.0,5.0
2DA AL 15% AGNOLOTTIS,12270.0,1.0
LIMONADA,11700.0,3.0
PORCION DE TARTA+ENSALADA FRESCA,9800.0,2.0
Raspadita,9800.0,2.0
AGNOLOTTI CAPRE/LOMITO,9500.0,1.0
promo ñoquis preparados 2 pers.,9398.0,1.0
aquarius 0.5,9000.0,5.0
SALSA PESTO CHICA,9000.0,2.0
Milano,8900.0,1.0
15% 2DA MINI TORTA,8325.0,1.0
LICUADO C/AGUA O LECHE,7800.0,2.0
MERMELADA UNIDAD,7700.0,1.0
PAN LOMO X3,5400.0,2.0
PASTA+SALSA. QUESO100G 20%,5280.0,2.0
PAN DE LECHE xKG,5074.8,1.658
ADICIONAL,4640.0,4.0
JUGO GRANDE NATURAL,4500.0,1.0
ENSALADA DE FRUTA,4500.0,1.0
BAGEL LOM/VEGIE,4200.0,1.0
CAFE+2 MEDIALUNAS,3600.0,1.0
CROISSANT,1550.0,1.0
BAGUETIN DE QUESO,890.0,1.0
