Nombre,Total ($),Cantidad
PASTA DEL DIA,523300.0,113.0
DOCENA EMPANADAS 12x10,296100.0,21.0
MEDIALUNA,272777.0,390.0
SORRENTINOS PREPARADOS,272400.0,34.0
PIZZA ESPECIAL,267020.0,23.0
TORTITAS,257580.0,463.0
MEDIALUNA/SACRAMENTO RELLENO,234902.0,244.0
JUGO NATURAL DE FRUTAS,211640.0,48.0
MUZZARELLA,183400.0,18.0
PIZZA PEPPERONI,180780.0,16.0
CAFE MEDIUM,170600.0,76.0
2DO RAVIOLES 15%OFF,169660.0,11.0
ÑOQUIS PREPARADOS,168968.0,26.0
SORRENTINOS COMUNES CAJA,163280.0,14.0
LAMPONI,161400.0,133.0
6x5 EMPANADAS,159790.0,21.0
LIMONADA JARRA 1L CARTA,158000.0,28.0
ROLL UNIDAD,152460.0,125.0
"GASEOSA 1,5L",150800.0,32.0
6x5 TORTITAS,150160.0,51.0
Suscipcion de Almuerzo,147000.0,3.0
CAFE LARGE,138580.0,53.0
PAÑUELITO/MEMBRILLITO,137422.0,143.0
TAGLIATELLE PREPARADO,131864.0,27.0
MILANO,126600.0,14.0
MENU EJECUTIVO (plato del dia/lata/postre o cafe),123300.0,15.0
RAVIOLES PREPARADOS,120100.0,16.0
POLLO GRILLADO CARTA,117300.0,17.0
GRAN MENDOCINO,116500.0,25.0
SANDWICH POLLO Y PALTA,113920.0,19.0
CROISSANT RELLENO,110200.0,38.0
3RA RAVIOLES 30%OFF,109890.0,5.0
12x10 DOCENA MEDIALUNAS,109272.0,13.0
EMPANADA UNIDAD,109170.0,95.0
RAVIOLES CAJA,103420.0,12.0
2DO SORRENTINO 15% OFF,103060.0,5.0
POSTRES CHES/CHOCO/BROW,100999.0,19.0
CERVEZA STELLA 1L,100800.0,16.0
PIZZA MUZZARELLA,100499.0,10.0
PAN MOLDE,97320.0,23.0
TRIPLE UNIDAD,93750.0,77.0
PAN COMUN X KG,91447.8,25.147
6x5 medialunas,89700.0,26.0
mila de carne + guarnicion,88000.0,10.0
ARGENTO,81500.0,11.0
MENDOCINO,81000.0,25.0
LASAGNA PREPARADA,79000.0,8.0
AMERICANO P/UNO,78460.0,7.0
SALSA BOLOGNESA,75060.0,15.0
6x5 triples,73920.0,11.0
GASEOSA 1.5 CARTA,73600.0,14.0
PIZZA NAPOLITANA,67400.0,6.0
GASEOSA 0.5 L CARTA,67300.0,31.0
SANDWICH DE MILA DE POLLO CARTA,65400.0,10.0
3RA SORRENTINOS 30%OFF,62100.0,2.0
GRAND PAIN AU CHOCOLAT (GRAN PAN O CHOCOLA),60800.0,38.0
YOGUR C/FRUTAS Y GRANOLA,52600.0,12.0
CAFE GRANDE PARA LLEVAR,51580.0,19.0
mila de pollo + guarnicion,50400.0,6.0
JAMON YORK BOX,49700.0,4.0
NUGGETS X10,49000.0,5.0
TARTA DEL DIA,48000.0,8.0
6x5 ALFAJORES,48000.0,8.0
ÑOQUIS CALAB/PAPA CAJA,46020.0,7.0
PASTA DEL DIA + LATA GASEOSA,45900.0,7.0
"AGUA MINERAL 1,5L",45409.0,14.0
RASPADITA,45100.0,9.0
"GASEOSA 0,5L",44960.0,25.0
TARTAS JYQ/ESPINACA/CEBOLLA/KALE,44100.0,9.0
2DO ÑOQUIS 15%OFF,43660.0,4.0
2DO TAGLIATELLE 15%OFF,43085.0,5.0
BAGEL HUEVO/VEGGIE/MULTI/LOMO,42799.0,9.0
SALSA TUCO,42500.0,12.0
6X5 FACTURAS,42200.0,8.0
TAGLIATELLE CAJA,42030.0,9.0
QUESO RALLADO GRANDE 100 GM,41910.0,13.0
CERVEZA LATA,41860.0,10.0
AMERICANO P/DOS,40400.0,2.0
SANDWICH POLLO Y PALTA CARTA,39400.0,6.0
mila napo carne + guarnicion,39250.0,5.0
ARO CEBOLLA+ CUP,39200.0,4.0
12x10DOCENA TORTITAS.,36750.0,7.0
2X1 CHOPS CERVEZA,36000.0,8.0
LICUADO C/LECHE O AGUA,34400.0,8.0
CAFE MEDIANO P/ LLEVAR,34020.0,15.0
PAPPARDELLE PREPARADO,31895.0,6.0
ENSALADA DEL DIA,31398.0,4.0
2DO PAN MOLDE 15% OFF,31080.0,4.0
MEDIALUNA JAMON QUESO,30420.0,22.0
LIMONADA VASO,30100.0,7.0
ENSALADA DEL DIA CARTA,29500.0,5.0
DOCENA FACTURAS MIX 12X10,28500.0,3.0
AGNOLOTTIS CAJA,28500.0,3.0
GASEOSA LATA 310 CC,25800.0,19.0
STELLA LITRO,25200.0,4.0
ALFAJOR,25200.0,21.0
ITALIANO,25150.0,3.0
mila napo pollo + guarnicion,25000.0,3.0
DOCENA TRIPLES 12X10,24000.0,2.0
XL JAMON YORK,23970.0,2.0
"AGUA MINERAL 0,5L",21700.0,13.0
SALSA CREMA,21300.0,7.0
CAPPUCCINO,21300.0,7.0
QUESO RALLADO CHICO 50GR,20500.0,9.0
MENU KIDS,19600.0,4.0
Papas Fritas,19600.0,2.0
BUDIN PREMIUM,19200.0,4.0
ROLL CAFETERIA,19200.0,12.0
BAGEL DE LOMITO/JAMON/VEGGIE CARTA,18600.0,4.0
FRAPPE LA VENE,18200.0,6.0
BUDIN LIMON/NARJ,17640.0,4.0
SAND DEL DIA  + LATA O LIM,15900.0,3.0
PIZZA MUZZA + CERVEZA 1L,15500.0,1.0
MERMELADA DAMASCO/FRUTILLA,15400.0,2.0
MILA CLASICA CARNE,15000.0,2.0
PAPAS C/ CHEDDAR Y PANCETA,14800.0,2.0
VINO ALAMBRARO,13900.0,1.0
PIZZA ITALIANA ESPECIAL,13860.0,1.0
HUEVOS REVUELTOS,12700.0,3.0
PAÑUELITO CAFETERIA,12600.0,9.0
XL FULL CHEESE,12600.0,1.0
CAFE SMALL,12400.0,6.0
CAFÉ XL,12400.0,4.0
TOSTADO DE MIGA X 3 CAFETERIA,12200.0,3.0
"AGUA CON/SIN GAS 0,5 CARTA",11800.0,6.0
TORTITAS CAFETERIA,11200.0,14.0
SACRAMENTOS,10690.0,11.0
PIZZA VEGGIE,10500.0,1.0
EMPANADA CARTA,10000.0,8.0
AGUA SABORIZADA 1.5L,9740.0,2.0
PEPERONI BOX,9600.0,1.0
